"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","532.2175","2024-02-01T00:00:00.000Z","0","532.2175"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","34539.39","2024-02-01T00:00:00.000Z","64.8971","345.3939"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","63930.72","2024-02-01T00:00:00.000Z","185.0951","319.6536"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","93322.05","2024-02-01T00:00:00.000Z","291.9474","311.0735"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","120997.36","2024-02-01T00:00:00.000Z","388.9671","302.4934"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","147535.5375","2024-02-01T00:00:00.000Z","487.7314","295.0711"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","289228.35","2024-02-01T00:00:00.000Z","980.1988","289.2284"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","559716.9","2024-02-01T00:00:00.000Z","1935.2073","279.8584"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1346653.875","2024-02-01T00:00:00.000Z","4811.9116","269.3308"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","544.374","2024-02-01T00:00:00.000Z","0","544.374"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","35328.312","2024-02-01T00:00:00.000Z","64.8971","353.2831"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","65390.976","2024-02-01T00:00:00.000Z","185.0951","326.9549"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","95453.64","2024-02-01T00:00:00.000Z","291.9474","318.1788"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","123761.088","2024-02-01T00:00:00.000Z","388.9671","309.4027"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","150905.43","2024-02-01T00:00:00.000Z","487.7315","301.8109"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","295834.68","2024-02-01T00:00:00.000Z","980.1988","295.8347"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","572501.52","2024-02-01T00:00:00.000Z","1935.2075","286.2508"
