"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","185.1731","2024-02-01T00:00:00.000Z","0","185.1731"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","12017.2063","2024-02-01T00:00:00.000Z","64.8971","120.1721"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","22243.2605","2024-02-01T00:00:00.000Z","185.095","111.2163"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","32469.3147","2024-02-01T00:00:00.000Z","291.9474","108.231"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","42098.3182","2024-02-01T00:00:00.000Z","388.9673","105.2458"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","51331.682","2024-02-01T00:00:00.000Z","487.7314","102.6634"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","100630.5189","2024-02-01T00:00:00.000Z","980.1986","100.6305"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","194740.9446","2024-02-01T00:00:00.000Z","1935.208","97.3705"
"2024-02-02T06:09:14.625Z","Sentinel","israelcentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","468538.0193","2024-02-01T00:00:00.000Z","4811.9093","93.7076"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","187.3465","2024-02-01T00:00:00.000Z","0","187.3465"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","12158.2501","2024-02-01T00:00:00.000Z","64.8971","121.5825"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","22504.3258","2024-02-01T00:00:00.000Z","185.0951","112.5216"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","32850.4014","2024-02-01T00:00:00.000Z","291.9475","109.5013"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","42592.4189","2024-02-01T00:00:00.000Z","388.9672","106.481"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","51934.1531","2024-02-01T00:00:00.000Z","487.7316","103.8683"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","101811.6018","2024-02-01T00:00:00.000Z","980.199","101.8116"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","197026.5852","2024-02-01T00:00:00.000Z","1935.2076","98.5133"
"2024-03-02T06:09:37.412Z","Sentinel","israelcentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","474037.1685","2024-02-01T00:00:00.000Z","4811.9104","94.8074"
"2024-04-03T09:27:52.666Z","Sentinel","israelcentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","189.0899","2024-02-01T00:00:00.000Z","0","189.0899"
"2024-04-03T09:27:52.666Z","Sentinel","israelcentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","12271.3931","2024-02-01T00:00:00.000Z","64.8971","122.7139"
"2024-04-03T09:27:52.666Z","Sentinel","israelcentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","22713.7478","2024-02-01T00:00:00.000Z","185.0952","113.5687"
"2024-04-03T09:27:52.666Z","Sentinel","israelcentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","33156.1026","2024-02-01T00:00:00.000Z","291.9475","110.5203"
"2024-04-03T09:27:52.666Z","Sentinel","israelcentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","42988.7779","2024-02-01T00:00:00.000Z","388.9673","107.4719"
"2024-04-03T09:27:52.666Z","Sentinel","israelcentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","52417.4449","2024-02-01T00:00:00.000Z","487.7316","104.8349"
"2024-04-03T09:27:52.666Z","Sentinel","israelcentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","102759.0462","2024-02-01T00:00:00.000Z","980.1988","102.7590"
"2024-04-03T09:27:52.666Z","Sentinel","israelcentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","198860.0868","2024-02-01T00:00:00.000Z","1935.2085","99.4300"
"2024-04-03T09:27:52.666Z","Sentinel","israelcentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","478448.4915","2024-02-01T00:00:00.000Z","4811.9128","95.6897"
