"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.4793","2024-02-01T00:00:00.000Z","0","8.4793"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","583.6936","2024-02-01T00:00:00.000Z","68.8375","5.8369"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1080.6219","2024-02-01T00:00:00.000Z","185.1363","5.4031"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1577.5502","2024-02-01T00:00:00.000Z","291.9713","5.2585"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2045.5502","2024-02-01T00:00:00.000Z","388.9988","5.1139"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2494.5013","2024-02-01T00:00:00.000Z","487.7884","4.989"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4890.4058","2024-02-01T00:00:00.000Z","980.2377","4.8904"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9465.3015","2024-02-01T00:00:00.000Z","1935.4862","4.7327"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","22775.8817","2024-02-01T00:00:00.000Z","4812.4499","4.5552"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.5389","2024-02-01T00:00:00.000Z","0","8.5389"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","587.795","2024-02-01T00:00:00.000Z","68.8373","5.878"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1088.2151","2024-02-01T00:00:00.000Z","185.1336","5.4411"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1588.6351","2024-02-01T00:00:00.000Z","291.9695","5.2955"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2059.9236","2024-02-01T00:00:00.000Z","388.9951","5.1498"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2512.0293","2024-02-01T00:00:00.000Z","487.7916","5.0241"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4924.769","2024-02-01T00:00:00.000Z","980.2291","4.9248"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9531.8109","2024-02-01T00:00:00.000Z","1935.4717","4.7659"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","22935.92","2024-02-01T00:00:00.000Z","4812.5055","4.5872"
"2024-04-03T09:27:52.666Z","Sentinel","italynorth","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.552","2024-02-01T00:00:00.000Z","0","8.552"
"2024-04-03T09:27:52.666Z","Sentinel","italynorth","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","588.6943","2024-02-01T00:00:00.000Z","68.837","5.8869"
"2024-04-03T09:27:52.666Z","Sentinel","italynorth","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1089.8799","2024-02-01T00:00:00.000Z","185.1365","5.4494"
"2024-04-03T09:27:52.666Z","Sentinel","italynorth","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1591.0656","2024-02-01T00:00:00.000Z","291.9708","5.3036"
"2024-04-03T09:27:52.666Z","Sentinel","italynorth","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2063.075","2024-02-01T00:00:00.000Z","388.9952","5.1577"
"2024-04-03T09:27:52.666Z","Sentinel","italynorth","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2515.8724","2024-02-01T00:00:00.000Z","487.7896","5.0317"
"2024-04-03T09:27:52.666Z","Sentinel","italynorth","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4932.3032","2024-02-01T00:00:00.000Z","980.2459","4.9323"
"2024-04-03T09:27:52.666Z","Sentinel","italynorth","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9546.3933","2024-02-01T00:00:00.000Z","1935.4851","4.7732"
