"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","27.6532","2024-02-01T00:00:00.000Z","0","27.6532"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1903.5671","2024-02-01T00:00:00.000Z","68.8371","19.0357"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3524.1716","2024-02-01T00:00:00.000Z","185.1349","17.6209"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5144.776","2024-02-01T00:00:00.000Z","291.9701","17.1493"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","6671.0381","2024-02-01T00:00:00.000Z","388.9977","16.6776"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8135.177","2024-02-01T00:00:00.000Z","487.7906","16.2704"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","15948.8056","2024-02-01T00:00:00.000Z","980.2344","15.9488"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","30868.656","2024-02-01T00:00:00.000Z","1935.4846","15.4343"
"2024-02-02T06:09:14.625Z","Sentinel","italynorth","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","74277.7035","2024-02-01T00:00:00.000Z","4812.5087","14.8555"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","27.6417","2024-02-01T00:00:00.000Z","0","27.6417"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1902.7783","2024-02-01T00:00:00.000Z","68.8372","19.0278"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3522.7111","2024-02-01T00:00:00.000Z","185.1350","17.6136"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5142.644","2024-02-01T00:00:00.000Z","291.9701","17.1421"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","6668.2736","2024-02-01T00:00:00.000Z","388.9998","16.6707"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8131.8058","2024-02-01T00:00:00.000Z","487.7903","16.2636"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","15942.1964","2024-02-01T00:00:00.000Z","980.2379","15.9422"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","30855.864","2024-02-01T00:00:00.000Z","1935.4834","15.4279"
"2024-03-02T06:09:37.412Z","Sentinel","italynorth","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","74246.9228","2024-02-01T00:00:00.000Z","4812.5100","14.8494"
