"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","japaneast","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","45.5002","2023-07-01T00:00:00.000Z","0","45.5002"
"2023-09-11T15:21:36.457Z","Sentinel","japaneast","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","3129.5976","2023-07-01T00:00:00.000Z","68.7821","31.296"
"2023-09-11T15:21:36.457Z","Sentinel","japaneast","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","5793.9848","2023-07-01T00:00:00.000Z","185.135","28.9699"
"2023-09-11T15:21:36.457Z","Sentinel","japaneast","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","8458.372","2023-07-01T00:00:00.000Z","291.971","28.1946"
"2023-09-11T15:21:36.457Z","Sentinel","japaneast","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","10967.6647","2023-07-01T00:00:00.000Z","388.9988","27.4192"
"2023-09-11T15:21:36.457Z","Sentinel","japaneast","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","13374.8007","2023-07-01T00:00:00.000Z","487.7896","26.7496"
"2023-09-11T15:21:36.457Z","Sentinel","japaneast","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","26220.9532","2023-07-01T00:00:00.000Z","980.2372","26.221"
"2023-09-11T15:21:36.457Z","Sentinel","japaneast","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","50750.232","2023-07-01T00:00:00.000Z","1935.4804","25.3751"
"2023-09-11T15:21:36.457Z","Sentinel","japaneast","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","122117.7457","2023-07-01T00:00:00.000Z","4812.503","24.4235"
"2023-10-02T06:09:57.719Z","Sentinel","japaneast","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","45.6054","2023-07-01T00:00:00.000Z","0","45.6054"
"2023-10-02T06:09:57.719Z","Sentinel","japaneast","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","3136.8297","2023-07-01T00:00:00.000Z","68.7820","31.3683"
"2023-10-02T06:09:57.719Z","Sentinel","japaneast","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","5807.3738","2023-07-01T00:00:00.000Z","185.1351","29.0369"
"2023-10-02T06:09:57.719Z","Sentinel","japaneast","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","8477.918","2023-07-01T00:00:00.000Z","291.9705","28.2597"
"2023-10-02T06:09:57.719Z","Sentinel","japaneast","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","10993.0093","2023-07-01T00:00:00.000Z","388.9995","27.4825"
"2023-10-02T06:09:57.719Z","Sentinel","japaneast","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","13405.7078","2023-07-01T00:00:00.000Z","487.7907","26.8114"
"2023-10-02T06:09:57.719Z","Sentinel","japaneast","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","26281.5458","2023-07-01T00:00:00.000Z","980.2377","26.2815"
"2023-10-02T06:09:57.719Z","Sentinel","japaneast","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","50867.508","2023-07-01T00:00:00.000Z","1935.4872","25.4338"
"2023-10-02T06:09:57.719Z","Sentinel","japaneast","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","122399.9411","2023-07-01T00:00:00.000Z","4812.4913","24.4800"
