"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","japanwest","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","212.683","2023-07-01T00:00:00.000Z","0","212.683"
"2023-09-11T15:21:36.457Z","Sentinel","japanwest","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","14629.5262","2023-07-01T00:00:00.000Z","68.7856","146.2953"
"2023-09-11T15:21:36.457Z","Sentinel","japanwest","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","27084.3931","2023-07-01T00:00:00.000Z","185.1351","135.422"
"2023-09-11T15:21:36.457Z","Sentinel","japanwest","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","39539.26","2023-07-01T00:00:00.000Z","291.9707","131.7975"
"2023-09-11T15:21:36.457Z","Sentinel","japanwest","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","51269.0279","2023-07-01T00:00:00.000Z","388.9985","128.1726"
"2023-09-11T15:21:36.457Z","Sentinel","japanwest","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","62521.4549","2023-07-01T00:00:00.000Z","487.7911","125.0429"
"2023-09-11T15:21:36.457Z","Sentinel","japanwest","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","122571.706","2023-07-01T00:00:00.000Z","980.2372","122.5717"
"2023-09-11T15:21:36.457Z","Sentinel","japanwest","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","237235.56","2023-07-01T00:00:00.000Z","1935.484","118.6178"
"2023-09-11T15:21:36.457Z","Sentinel","japanwest","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","570848.0663","2023-07-01T00:00:00.000Z","4812.4992","114.1696"
"2023-10-02T06:09:57.719Z","Sentinel","japanwest","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","215.1275","2023-07-01T00:00:00.000Z","0","215.1275"
"2023-10-02T06:09:57.719Z","Sentinel","japanwest","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","14797.6764","2023-07-01T00:00:00.000Z","68.7856","147.9768"
