"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","9.3456","2023-08-01T00:00:00.000Z","0","9.3456"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","643.3284","2023-08-01T00:00:00.000Z","68.8376","6.4333"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1191.0269","2023-08-01T00:00:00.000Z","185.1347","5.9551"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1738.7255","2023-08-01T00:00:00.000Z","291.9725","5.7958"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2254.537","2023-08-01T00:00:00.000Z","388.995","5.6363"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2749.3596","2023-08-01T00:00:00.000Z","487.7951","5.4987"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5390.0489","2023-08-01T00:00:00.000Z","980.2406","5.39"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","10432.3527","2023-08-01T00:00:00.000Z","1935.5014","5.2162"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","25102.8487","2023-08-01T00:00:00.000Z","4812.4782","5.0206"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","9.4402","2023-08-01T00:00:00.000Z","0","9.4402"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","649.8353","2023-08-01T00:00:00.000Z","68.837","6.4984"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1203.0735","2023-08-01T00:00:00.000Z","185.1338","6.0154"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1756.3117","2023-08-01T00:00:00.000Z","291.9692","5.8544"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2277.3404","2023-08-01T00:00:00.000Z","388.9964","5.6934"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2777.1679","2023-08-01T00:00:00.000Z","487.7872","5.5543"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5444.5664","2023-08-01T00:00:00.000Z","980.2435","5.4446"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","10537.8705","2023-08-01T00:00:00.000Z","1935.4719","5.2689"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","25356.7508","2023-08-01T00:00:00.000Z","4812.5322","5.0714"
"2023-11-02T06:09:34.736Z","Sentinel","jioindiawest","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","9.4796","2023-08-01T00:00:00.000Z","0","9.4796"
"2023-11-02T06:09:34.736Z","Sentinel","jioindiawest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","652.547","2023-08-01T00:00:00.000Z","68.837","6.5255"
"2023-11-02T06:09:34.736Z","Sentinel","jioindiawest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1208.0939","2023-08-01T00:00:00.000Z","185.1343","6.0405"
"2023-11-02T06:09:34.736Z","Sentinel","jioindiawest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1763.6407","2023-08-01T00:00:00.000Z","291.9693","5.8788"
"2023-11-02T06:09:34.736Z","Sentinel","jioindiawest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2286.8436","2023-08-01T00:00:00.000Z","388.9984","5.7171"
"2023-11-02T06:09:34.736Z","Sentinel","jioindiawest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2788.7568","2023-08-01T00:00:00.000Z","487.7922","5.5775"
"2023-11-02T06:09:34.736Z","Sentinel","jioindiawest","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5467.286","2023-08-01T00:00:00.000Z","980.2395","5.4673"
"2023-11-02T06:09:34.736Z","Sentinel","jioindiawest","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","10581.8439","2023-08-01T00:00:00.000Z","1935.4789","5.2909"
"2023-11-02T06:09:34.736Z","Sentinel","jioindiawest","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","25462.562","2023-08-01T00:00:00.000Z","4812.52","5.0925"
"2023-12-02T06:09:12.946Z","Sentinel","jioindiawest","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","9.0642","2023-08-01T00:00:00.000Z","0","9.0642"
"2023-12-02T06:09:12.946Z","Sentinel","jioindiawest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","623.9554","2023-08-01T00:00:00.000Z","68.8373","6.2396"
"2023-12-02T06:09:12.946Z","Sentinel","jioindiawest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1155.1607","2023-08-01T00:00:00.000Z","185.1338","5.7758"
"2023-12-02T06:09:12.946Z","Sentinel","jioindiawest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1686.366","2023-08-01T00:00:00.000Z","291.971","5.6212"
"2023-12-02T06:09:12.946Z","Sentinel","jioindiawest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2186.6446","2023-08-01T00:00:00.000Z","388.9996","5.4666"
"2023-12-02T06:09:12.946Z","Sentinel","jioindiawest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2666.5663","2023-08-01T00:00:00.000Z","487.7925","5.3331"
"2023-12-02T06:09:12.946Z","Sentinel","jioindiawest","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5227.7347","2023-08-01T00:00:00.000Z","980.2431","5.2277"
"2023-12-02T06:09:12.946Z","Sentinel","jioindiawest","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","10118.1962","2023-08-01T00:00:00.000Z","1935.4967","5.0591"
"2023-12-02T06:09:12.946Z","Sentinel","jioindiawest","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","24346.9096","2023-08-01T00:00:00.000Z","4812.4982","4.8694"
"2024-01-02T06:09:49.104Z","Sentinel","jioindiawest","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.789","2023-08-01T00:00:00.000Z","0","8.789"
"2024-01-02T06:09:49.104Z","Sentinel","jioindiawest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","605.0077","2023-08-01T00:00:00.000Z","68.8369","6.0501"
"2024-01-02T06:09:49.104Z","Sentinel","jioindiawest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1120.0818","2023-08-01T00:00:00.000Z","185.1344","5.6004"
"2024-01-02T06:09:49.104Z","Sentinel","jioindiawest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1635.1559","2023-08-01T00:00:00.000Z","291.9713","5.4505"
"2024-01-02T06:09:49.104Z","Sentinel","jioindiawest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2120.2424","2023-08-01T00:00:00.000Z","388.9996","5.3006"
"2024-01-02T06:09:49.104Z","Sentinel","jioindiawest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2585.5902","2023-08-01T00:00:00.000Z","487.792","5.1712"
"2024-01-02T06:09:49.104Z","Sentinel","jioindiawest","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5068.9831","2023-08-01T00:00:00.000Z","980.2334","5.069"
"2024-01-02T06:09:49.104Z","Sentinel","jioindiawest","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9810.9351","2023-08-01T00:00:00.000Z","1935.4774","4.9055"
"2024-01-02T06:09:49.104Z","Sentinel","jioindiawest","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","23607.5626","2023-08-01T00:00:00.000Z","4812.4682","4.7215"
"2024-02-02T06:09:14.625Z","Sentinel","jioindiawest","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","9.1316","2023-08-01T00:00:00.000Z","0","9.1316"
"2024-02-02T06:09:14.625Z","Sentinel","jioindiawest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","628.5931","2023-08-01T00:00:00.000Z","68.8371","6.2859"
"2024-02-02T06:09:14.625Z","Sentinel","jioindiawest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1163.7467","2023-08-01T00:00:00.000Z","185.1361","5.8187"
"2024-02-02T06:09:14.625Z","Sentinel","jioindiawest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1698.9003","2023-08-01T00:00:00.000Z","291.9725","5.663"
"2024-02-02T06:09:14.625Z","Sentinel","jioindiawest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2202.8972","2023-08-01T00:00:00.000Z","388.9983","5.5072"
"2024-02-02T06:09:14.625Z","Sentinel","jioindiawest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2686.386","2023-08-01T00:00:00.000Z","487.7952","5.3728"
"2024-02-02T06:09:14.625Z","Sentinel","jioindiawest","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5266.5908","2023-08-01T00:00:00.000Z","980.2321","5.2666"
"2024-02-02T06:09:14.625Z","Sentinel","jioindiawest","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","10193.4016","2023-08-01T00:00:00.000Z","1935.4805","5.0967"
