"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","29.3406","2023-08-01T00:00:00.000Z","0","29.3406"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","2019.7234","2023-08-01T00:00:00.000Z","68.8372","20.1972"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3739.2177","2023-08-01T00:00:00.000Z","185.1354","18.6961"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5458.712","2023-08-01T00:00:00.000Z","291.9706","18.1957"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","7078.0974","2023-08-01T00:00:00.000Z","388.9984","17.6952"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8631.5883","2023-08-01T00:00:00.000Z","487.7926","17.2632"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","16922.0072","2023-08-01T00:00:00.000Z","980.2358","16.922"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","32752.272","2023-08-01T00:00:00.000Z","1935.4847","16.3761"
"2023-09-11T15:21:36.457Z","Sentinel","jioindiawest","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","78810.1545","2023-08-01T00:00:00.000Z","4812.5106","15.762"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","30.2752","2023-08-01T00:00:00.000Z","0","30.2752"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","2084.059","2023-08-01T00:00:00.000Z","68.8372","20.8406"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3858.3255","2023-08-01T00:00:00.000Z","185.1350","19.2916"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5632.592","2023-08-01T00:00:00.000Z","291.9712","18.7753"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","7303.5608","2023-08-01T00:00:00.000Z","388.9984","18.2589"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8906.5361","2023-08-01T00:00:00.000Z","487.7915","17.8131"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17461.0352","2023-08-01T00:00:00.000Z","980.2356","17.4610"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","33795.552","2023-08-01T00:00:00.000Z","1935.4878","16.8978"
"2023-10-02T06:09:57.719Z","Sentinel","jioindiawest","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","81320.547","2023-08-01T00:00:00.000Z","4812.4932","16.2641"
