"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","koreacentral","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","28.3171","2023-07-01T00:00:00.000Z","0","28.3171"
"2023-09-11T15:21:36.457Z","Sentinel","koreacentral","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1947.5905","2023-07-01T00:00:00.000Z","68.7779","19.4759"
"2023-09-11T15:21:36.457Z","Sentinel","koreacentral","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3605.6742","2023-07-01T00:00:00.000Z","185.1352","18.0284"
"2023-09-11T15:21:36.457Z","Sentinel","koreacentral","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5263.758","2023-07-01T00:00:00.000Z","291.9703","17.5459"
"2023-09-11T15:21:36.457Z","Sentinel","koreacentral","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","6825.3395","2023-07-01T00:00:00.000Z","388.9991","17.0633"
"2023-09-11T15:21:36.457Z","Sentinel","koreacentral","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8323.3173","2023-07-01T00:00:00.000Z","487.7906","16.6466"
"2023-09-11T15:21:36.457Z","Sentinel","koreacentral","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","16317.6498","2023-07-01T00:00:00.000Z","980.2392","16.3176"
"2023-09-11T15:21:36.457Z","Sentinel","koreacentral","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","31582.548","2023-07-01T00:00:00.000Z","1935.4898","15.7913"
"2023-09-11T15:21:36.457Z","Sentinel","koreacentral","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","75995.5061","2023-07-01T00:00:00.000Z","4812.4921","15.1991"
"2023-10-02T06:09:57.719Z","Sentinel","koreacentral","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","29.2191","2023-07-01T00:00:00.000Z","0","29.2191"
"2023-10-02T06:09:57.719Z","Sentinel","koreacentral","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","2009.6284","2023-07-01T00:00:00.000Z","68.7779","20.0963"
"2023-10-02T06:09:57.719Z","Sentinel","koreacentral","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3720.5282","2023-07-01T00:00:00.000Z","185.1350","18.6026"
"2023-10-02T06:09:57.719Z","Sentinel","koreacentral","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5431.428","2023-07-01T00:00:00.000Z","291.9714","18.1048"
"2023-10-02T06:09:57.719Z","Sentinel","koreacentral","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","7042.7516","2023-07-01T00:00:00.000Z","388.9991","17.6069"
"2023-10-02T06:09:57.719Z","Sentinel","koreacentral","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8588.4455","2023-07-01T00:00:00.000Z","487.7886","17.1769"
"2023-10-02T06:09:57.719Z","Sentinel","koreacentral","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","16837.4268","2023-07-01T00:00:00.000Z","980.2366","16.8374"
"2023-10-02T06:09:57.719Z","Sentinel","koreacentral","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","32588.568","2023-07-01T00:00:00.000Z","1935.4870","16.2943"
"2023-10-02T06:09:57.719Z","Sentinel","koreacentral","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","78416.2417","2023-07-01T00:00:00.000Z","4812.4953","15.6832"
