"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","33.9623","2024-02-01T00:00:00.000Z","0","33.9623"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2337.8731","2024-02-01T00:00:00.000Z","68.8373","23.3787"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","4328.2246","2024-02-01T00:00:00.000Z","185.1354","21.6411"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","6318.576","2024-02-01T00:00:00.000Z","291.9711","21.0619"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","8193.0606","2024-02-01T00:00:00.000Z","388.9991","20.4827"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","9991.2483","2024-02-01T00:00:00.000Z","487.7896","19.9825"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","19587.5856","2024-02-01T00:00:00.000Z","980.237","19.5876"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","37911.456","2024-02-01T00:00:00.000Z","1935.4824","18.9557"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","91224.441","2024-02-01T00:00:00.000Z","4812.5071","18.2449"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","34.048","2024-02-01T00:00:00.000Z","0","34.048"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2343.7665","2024-02-01T00:00:00.000Z","68.8371","23.4377"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","4339.1352","2024-02-01T00:00:00.000Z","185.1349","21.6957"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","6334.504","2024-02-01T00:00:00.000Z","291.9705","21.115"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","8213.7138","2024-02-01T00:00:00.000Z","388.999","20.5343"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","10016.4345","2024-02-01T00:00:00.000Z","487.7904","20.0329"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","19636.9624","2024-02-01T00:00:00.000Z","980.2356","19.637"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","38007.024","2024-02-01T00:00:00.000Z","1935.4802","19.0035"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","91454.4015","2024-02-01T00:00:00.000Z","4812.503","18.2909"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","34.1475","2024-02-01T00:00:00.000Z","0","34.1475"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2350.6204","2024-02-01T00:00:00.000Z","68.8373","23.5062"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","4351.8242","2024-02-01T00:00:00.000Z","185.1352","21.7591"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","6353.028","2024-02-01T00:00:00.000Z","291.9711","21.1768"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","8237.7332","2024-02-01T00:00:00.000Z","388.998","20.5943"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","10045.7255","2024-02-01T00:00:00.000Z","487.7915","20.0915"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","19694.3868","2024-02-01T00:00:00.000Z","980.2348","19.6944"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","38118.168","2024-02-01T00:00:00.000Z","1935.4826","19.0591"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","91721.8417","2024-02-01T00:00:00.000Z","4812.496","18.3444"
"2024-05-02T06:10:09.767Z","Sentinel","mexicocentral","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","34.275","2024-02-01T00:00:00.000Z","0","34.275"
"2024-05-02T06:10:09.767Z","Sentinel","mexicocentral","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2359.3953","2024-02-01T00:00:00.000Z","68.8372","23.594"
"2024-05-02T06:10:09.767Z","Sentinel","mexicocentral","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","4368.0696","2024-02-01T00:00:00.000Z","185.1348","21.8403"
"2024-05-02T06:10:09.767Z","Sentinel","mexicocentral","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","6376.744","2024-02-01T00:00:00.000Z","291.9714","21.2558"
"2024-05-02T06:10:09.767Z","Sentinel","mexicocentral","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","8268.4848","2024-02-01T00:00:00.000Z","388.999","20.6712"
"2024-05-02T06:10:09.767Z","Sentinel","mexicocentral","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","10083.2264","2024-02-01T00:00:00.000Z","487.7911","20.1665"
"2024-05-02T06:10:09.767Z","Sentinel","mexicocentral","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","19767.9064","2024-02-01T00:00:00.000Z","980.2349","19.7679"
"2024-05-02T06:10:09.767Z","Sentinel","mexicocentral","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","38260.464","2024-02-01T00:00:00.000Z","1935.4845","19.1302"
"2024-05-02T06:10:09.767Z","Sentinel","mexicocentral","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","92064.2415","2024-02-01T00:00:00.000Z","4812.5081","18.4128"
"2024-06-02T06:11:37.485Z","Sentinel","mexicocentral","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","34.2873","2024-02-01T00:00:00.000Z","0","34.2873"
"2024-06-02T06:11:37.485Z","Sentinel","mexicocentral","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2360.2418","2024-02-01T00:00:00.000Z","68.8372","23.6024"
"2024-06-02T06:11:37.485Z","Sentinel","mexicocentral","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","4369.6369","2024-02-01T00:00:00.000Z","185.1353","21.8482"
"2024-06-02T06:11:37.485Z","Sentinel","mexicocentral","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","6379.032","2024-02-01T00:00:00.000Z","291.9706","21.2634"
"2024-06-02T06:11:37.485Z","Sentinel","mexicocentral","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","8271.4516","2024-02-01T00:00:00.000Z","388.9995","20.6786"
"2024-06-02T06:11:37.485Z","Sentinel","mexicocentral","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","10086.8444","2024-02-01T00:00:00.000Z","487.7915","20.1737"
"2024-06-02T06:11:37.485Z","Sentinel","mexicocentral","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","19774.9992","2024-02-01T00:00:00.000Z","980.2366","19.775"
"2024-06-02T06:11:37.485Z","Sentinel","mexicocentral","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","38274.192","2024-02-01T00:00:00.000Z","1935.4838","19.1371"
"2024-06-02T06:11:37.485Z","Sentinel","mexicocentral","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","92097.2745","2024-02-01T00:00:00.000Z","4812.499","18.4195"
"2024-07-01T06:13:08.279Z","Sentinel","mexicocentral","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","34.3715","2024-02-01T00:00:00.000Z","0","34.3715"
"2024-07-01T06:13:08.279Z","Sentinel","mexicocentral","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2366.0375","2024-02-01T00:00:00.000Z","68.8372","23.6604"
"2024-07-01T06:13:08.279Z","Sentinel","mexicocentral","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","4380.3668","2024-02-01T00:00:00.000Z","185.1349","21.9018"
