"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","DKK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","32.6521","2024-02-01T00:00:00.000Z","0","32.6521"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","DKK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2247.6819","2024-02-01T00:00:00.000Z","68.8373","22.4768"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","DKK","200 GB Commitment Tier Capacity Reservation","200","1/Day","4161.249","2024-02-01T00:00:00.000Z","185.1353","20.8062"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","DKK","300 GB Commitment Tier Capacity Reservation","300","1/Day","6074.816","2024-02-01T00:00:00.000Z","291.9714","20.2494"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","DKK","400 GB Commitment Tier Capacity Reservation","400","1/Day","7876.9861","2024-02-01T00:00:00.000Z","388.9985","19.6925"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","DKK","500 GB Commitment Tier Capacity Reservation","500","1/Day","9605.8028","2024-02-01T00:00:00.000Z","487.7899","19.2116"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","DKK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","18831.9296","2024-02-01T00:00:00.000Z","980.2374","18.8319"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","DKK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","36448.896","2024-02-01T00:00:00.000Z","1935.4869","18.2244"
"2024-02-02T06:09:14.625Z","Sentinel","mexicocentral","DKK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","87705.156","2024-02-01T00:00:00.000Z","4812.5127","17.541"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","DKK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","32.501","2024-02-01T00:00:00.000Z","0","32.501"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","DKK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2237.279","2024-02-01T00:00:00.000Z","68.8372","22.3728"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","DKK","200 GB Commitment Tier Capacity Reservation","200","1/Day","4141.9895","2024-02-01T00:00:00.000Z","185.1351","20.7099"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","DKK","300 GB Commitment Tier Capacity Reservation","300","1/Day","6046.7","2024-02-01T00:00:00.000Z","291.9715","20.1557"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","DKK","400 GB Commitment Tier Capacity Reservation","400","1/Day","7840.5291","2024-02-01T00:00:00.000Z","388.9981","19.6013"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","DKK","500 GB Commitment Tier Capacity Reservation","500","1/Day","9561.3444","2024-02-01T00:00:00.000Z","487.7913","19.1227"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","DKK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","18744.77","2024-02-01T00:00:00.000Z","980.2366","18.7448"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","DKK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","36280.2","2024-02-01T00:00:00.000Z","1935.4808","18.1401"
"2024-03-02T06:09:37.412Z","Sentinel","mexicocentral","DKK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","87299.2313","2024-02-01T00:00:00.000Z","4812.5","17.4598"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","DKK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","32.5845","2024-02-01T00:00:00.000Z","0","32.5845"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","DKK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2243.0258","2024-02-01T00:00:00.000Z","68.8372","22.4303"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","DKK","200 GB Commitment Tier Capacity Reservation","200","1/Day","4152.6289","2024-02-01T00:00:00.000Z","185.1348","20.7631"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","DKK","300 GB Commitment Tier Capacity Reservation","300","1/Day","6062.232","2024-02-01T00:00:00.000Z","291.9714","20.2074"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","DKK","400 GB Commitment Tier Capacity Reservation","400","1/Day","7860.6689","2024-02-01T00:00:00.000Z","388.9995","19.6517"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","DKK","500 GB Commitment Tier Capacity Reservation","500","1/Day","9585.9043","2024-02-01T00:00:00.000Z","487.7901","19.1718"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","DKK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","18792.9192","2024-02-01T00:00:00.000Z","980.2376","18.7929"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","DKK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","36373.392","2024-02-01T00:00:00.000Z","1935.4858","18.1867"
"2024-04-03T09:27:52.666Z","Sentinel","mexicocentral","DKK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","87523.4745","2024-02-01T00:00:00.000Z","4812.4989","17.5047"
