"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","northcentralus","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.765","2023-07-01T00:00:00.000Z","0","4.765"
"2023-09-11T15:21:36.457Z","Sentinel","northcentralus","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","313.5285","2023-07-01T00:00:00.000Z","65.7982","3.1353"
"2023-09-11T15:21:36.457Z","Sentinel","northcentralus","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","580.072","2023-07-01T00:00:00.000Z","185.0132","2.9004"
"2023-09-11T15:21:36.457Z","Sentinel","northcentralus","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","846.6156","2023-07-01T00:00:00.000Z","291.8962","2.8221"
"2023-09-11T15:21:36.457Z","Sentinel","northcentralus","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1097.4975","2023-07-01T00:00:00.000Z","388.8939","2.7437"
"2023-09-11T15:21:36.457Z","Sentinel","northcentralus","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1337.889","2023-07-01T00:00:00.000Z","487.6222","2.6758"
"2023-09-11T15:21:36.457Z","Sentinel","northcentralus","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2622.5875","2023-07-01T00:00:00.000Z","980.1134","2.6226"
"2023-09-11T15:21:36.457Z","Sentinel","northcentralus","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5073.7834","2023-07-01T00:00:00.000Z","1934.6387","2.5369"
"2023-09-11T15:21:36.457Z","Sentinel","northcentralus","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12204.2663","2023-07-01T00:00:00.000Z","4810.7006","2.4409"
"2023-10-02T06:09:57.719Z","Sentinel","northcentralus","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.9089","2023-07-01T00:00:00.000Z","0","4.9089"
"2023-10-02T06:09:57.719Z","Sentinel","northcentralus","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","322.9986","2023-07-01T00:00:00.000Z","65.7986","3.23"
"2023-10-02T06:09:57.719Z","Sentinel","northcentralus","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","597.5931","2023-07-01T00:00:00.000Z","185.0133","2.988"
"2023-10-02T06:09:57.719Z","Sentinel","northcentralus","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","872.1876","2023-07-01T00:00:00.000Z","291.8968","2.9073"
"2023-10-02T06:09:57.719Z","Sentinel","northcentralus","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1130.6474","2023-07-01T00:00:00.000Z","388.8995","2.8266"
"2023-10-02T06:09:57.719Z","Sentinel","northcentralus","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1378.3","2023-07-01T00:00:00.000Z","487.6176","2.7566"
"2023-10-02T06:09:57.719Z","Sentinel","northcentralus","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2701.8028","2023-07-01T00:00:00.000Z","980.1215","2.7018"
"2023-10-02T06:09:57.719Z","Sentinel","northcentralus","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5227.0371","2023-07-01T00:00:00.000Z","1934.6499","2.6135"
"2023-10-02T06:09:57.719Z","Sentinel","northcentralus","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12572.8964","2023-07-01T00:00:00.000Z","4810.7505","2.5146"
"2023-11-02T06:09:34.736Z","Sentinel","northcentralus","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.8776","2023-07-01T00:00:00.000Z","0","4.8776"
"2023-11-02T06:09:34.736Z","Sentinel","northcentralus","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","320.9377","2023-07-01T00:00:00.000Z","65.7983","3.2094"
"2023-11-02T06:09:34.736Z","Sentinel","northcentralus","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","593.7801","2023-07-01T00:00:00.000Z","185.0128","2.9689"
"2023-11-02T06:09:34.736Z","Sentinel","northcentralus","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","866.6226","2023-07-01T00:00:00.000Z","291.9002","2.8887"
"2023-11-02T06:09:34.736Z","Sentinel","northcentralus","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1123.4332","2023-07-01T00:00:00.000Z","388.9062","2.8086"
"2023-11-02T06:09:34.736Z","Sentinel","northcentralus","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1369.5056","2023-07-01T00:00:00.000Z","487.6115","2.7390"
"2023-11-02T06:09:34.736Z","Sentinel","northcentralus","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2684.5638","2023-07-01T00:00:00.000Z","980.1255","2.6846"
"2023-11-02T06:09:34.736Z","Sentinel","northcentralus","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5193.6856","2023-07-01T00:00:00.000Z","1934.6218","2.5968"
"2023-11-02T06:09:34.736Z","Sentinel","northcentralus","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12492.6742","2023-07-01T00:00:00.000Z","4810.7957","2.4985"
