"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","northeurope","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","37.6252","2023-07-01T00:00:00.000Z","0","37.6252"
"2023-09-11T15:21:36.457Z","Sentinel","northeurope","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2590.0118","2023-07-01T00:00:00.000Z","68.8372","25.9001"
"2023-09-11T15:21:36.457Z","Sentinel","northeurope","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","4795.0219","2023-07-01T00:00:00.000Z","185.1353","23.9751"
"2023-09-11T15:21:36.457Z","Sentinel","northeurope","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","7000.032","2023-07-01T00:00:00.000Z","291.9709","23.3334"
"2023-09-11T15:21:36.457Z","Sentinel","northeurope","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","9076.7082","2023-07-01T00:00:00.000Z","389.0007","22.6918"
"2023-09-11T15:21:36.457Z","Sentinel","northeurope","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","11068.8006","2023-07-01T00:00:00.000Z","487.7886","22.1376"
"2023-09-11T15:21:36.457Z","Sentinel","northeurope","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","21700.0992","2023-07-01T00:00:00.000Z","980.2372","21.7001"
"2023-09-11T15:21:36.457Z","Sentinel","northeurope","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","42000.192","2023-07-01T00:00:00.000Z","1935.4838","21.0001"
"2023-09-11T15:21:36.457Z","Sentinel","northeurope","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","101062.962","2023-07-01T00:00:00.000Z","4812.4991","20.2126"
"2023-10-02T06:09:57.719Z","Sentinel","northeurope","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","37.7121","2023-07-01T00:00:00.000Z","0","37.7121"
"2023-10-02T06:09:57.719Z","Sentinel","northeurope","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2595.997","2023-07-01T00:00:00.000Z","68.8372","25.96"
"2023-10-02T06:09:57.719Z","Sentinel","northeurope","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","4806.1025","2023-07-01T00:00:00.000Z","185.1349","24.0305"
"2023-10-02T06:09:57.719Z","Sentinel","northeurope","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","7016.208","2023-07-01T00:00:00.000Z","291.971","23.3874"
"2023-10-02T06:09:57.719Z","Sentinel","northeurope","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","9097.683","2023-07-01T00:00:00.000Z","388.9993","22.7442"
"2023-10-02T06:09:57.719Z","Sentinel","northeurope","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","11094.3789","2023-07-01T00:00:00.000Z","487.7894","22.1888"
"2023-10-02T06:09:57.719Z","Sentinel","northeurope","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","21750.2448","2023-07-01T00:00:00.000Z","980.2353","21.7502"
"2023-10-02T06:09:57.719Z","Sentinel","northeurope","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","42097.248","2023-07-01T00:00:00.000Z","1935.4879","21.0486"
"2023-10-02T06:09:57.719Z","Sentinel","northeurope","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","101296.503","2023-07-01T00:00:00.000Z","4812.5055","20.2593"
"2023-11-01T06:09:55.088Z","Sentinel","northeurope","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","37.7555","2023-07-01T00:00:00.000Z","0","37.7555"
"2023-11-01T06:09:55.088Z","Sentinel","northeurope","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2598.9806","2023-07-01T00:00:00.000Z","68.8371","25.9898"
"2023-11-01T06:09:55.088Z","Sentinel","northeurope","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","4811.6263","2023-07-01T00:00:00.000Z","185.1352","24.0581"
"2023-11-01T06:09:55.088Z","Sentinel","northeurope","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","7024.272","2023-07-01T00:00:00.000Z","291.9712","23.4142"
"2023-11-01T06:09:55.088Z","Sentinel","northeurope","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","9108.1394","2023-07-01T00:00:00.000Z","389.0007","22.7703"
"2023-11-01T06:09:55.088Z","Sentinel","northeurope","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","11107.1301","2023-07-01T00:00:00.000Z","487.7902","22.2143"
"2023-11-01T06:09:55.088Z","Sentinel","northeurope","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","21775.2432","2023-07-01T00:00:00.000Z","980.2354","21.7752"
