"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.6634","2023-07-01T00:00:00.000Z","0","4.6634"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","373.1425","2023-07-01T00:00:00.000Z","80.0151","3.7314"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","690.8178","2023-07-01T00:00:00.000Z","185.1364","3.4541"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","1008.4932","2023-07-01T00:00:00.000Z","291.9699","3.3616"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1307.6736","2023-07-01T00:00:00.000Z","389.0033","3.2692"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1594.6799","2023-07-01T00:00:00.000Z","487.789","3.1894"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3126.3289","2023-07-01T00:00:00.000Z","980.2248","3.1263"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6050.9592","2023-07-01T00:00:00.000Z","1935.5018","3.0255"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","14560.1206","2023-07-01T00:00:00.000Z","4812.4676","2.912"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.866","2023-07-01T00:00:00.000Z","0","4.866"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","389.3541","2023-07-01T00:00:00.000Z","80.0152","3.8935"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","720.8313","2023-07-01T00:00:00.000Z","185.1371","3.6042"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","1052.3084","2023-07-01T00:00:00.000Z","291.9673","3.5077"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1364.4871","2023-07-01T00:00:00.000Z","388.9977","3.4112"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1663.9627","2023-07-01T00:00:00.000Z","487.7939","3.3279"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3262.156","2023-07-01T00:00:00.000Z","980.2446","3.2622"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6313.8504","2023-07-01T00:00:00.000Z","1935.4578","3.1569"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","15192.7025","2023-07-01T00:00:00.000Z","4812.5384","3.0385"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.7755","2023-07-01T00:00:00.000Z","0","4.7755"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","382.116","2023-07-01T00:00:00.000Z","80.0159","3.8212"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","707.431","2023-07-01T00:00:00.000Z","185.1332","3.5372"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","1032.746","2023-07-01T00:00:00.000Z","291.9671","3.4425"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1339.1213","2023-07-01T00:00:00.000Z","388.9967","3.3478"
