"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","57.9853","2023-07-01T00:00:00.000Z","0","57.9853"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4639.6991","2023-07-01T00:00:00.000Z","80.0151","46.397"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","8589.7131","2023-07-01T00:00:00.000Z","185.1351","42.9486"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","12539.7272","2023-07-01T00:00:00.000Z","291.9706","41.7991"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","16259.7732","2023-07-01T00:00:00.000Z","388.9982","40.6494"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","19828.4436","2023-07-01T00:00:00.000Z","487.7918","39.6569"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","38873.1543","2023-07-01T00:00:00.000Z","980.2368","38.8732"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","75238.3632","2023-07-01T00:00:00.000Z","1935.4816","37.6192"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","181042.3114","2023-07-01T00:00:00.000Z","4812.4976","36.2085"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","58.2498","2023-07-01T00:00:00.000Z","0","58.2498"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4660.8631","2023-07-01T00:00:00.000Z","80.0151","46.6086"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","8628.8951","2023-07-01T00:00:00.000Z","185.1353","43.1445"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","12596.9272","2023-07-01T00:00:00.000Z","291.9706","41.9898"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","16333.9422","2023-07-01T00:00:00.000Z","388.9979","40.8349"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","19918.8911","2023-07-01T00:00:00.000Z","487.7909","39.8378"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","39050.4743","2023-07-01T00:00:00.000Z","980.2367","39.0505"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","75581.5632","2023-07-01T00:00:00.000Z","1935.4826","37.7908"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","181868.1364","2023-07-01T00:00:00.000Z","4812.4977","36.3736"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","58.8557","2023-07-01T00:00:00.000Z","0","58.8557"
