"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","168.6796","2023-07-01T00:00:00.000Z","0","168.6796"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","13496.9177","2023-07-01T00:00:00.000Z","80.0151","134.9692"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","24987.5369","2023-07-01T00:00:00.000Z","185.1351","124.9377"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","36478.156","2023-07-01T00:00:00.000Z","291.9708","121.5939"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","47299.7964","2023-07-01T00:00:00.000Z","388.9981","118.2495"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","57681.0842","2023-07-01T00:00:00.000Z","487.7914","115.3622"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","113082.2836","2023-07-01T00:00:00.000Z","980.2369","113.0823"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","218868.936","2023-07-01T00:00:00.000Z","1935.4836","109.4345"
"2023-09-11T15:21:36.457Z","Sentinel","norwayeast","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","526653.3773","2023-07-01T00:00:00.000Z","4812.4986","105.3307"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","170.6184","2023-07-01T00:00:00.000Z","0","170.6184"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","13652.0498","2023-07-01T00:00:00.000Z","80.0151","136.5205"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","25274.7409","2023-07-01T00:00:00.000Z","185.1351","126.3737"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","36897.432","2023-07-01T00:00:00.000Z","291.9708","122.9914"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","47843.4551","2023-07-01T00:00:00.000Z","388.9984","119.6086"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","58344.0643","2023-07-01T00:00:00.000Z","487.7915","116.6881"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","114382.0392","2023-07-01T00:00:00.000Z","980.2374","114.382"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","221384.592","2023-07-01T00:00:00.000Z","1935.4845","110.6923"
"2023-10-02T06:09:57.719Z","Sentinel","norwayeast","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","532706.6745","2023-07-01T00:00:00.000Z","4812.4998","106.5413"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","171.5864","2023-07-01T00:00:00.000Z","0","171.5864"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","13729.5101","2023-07-01T00:00:00.000Z","80.0151","137.2951"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","25418.147","2023-07-01T00:00:00.000Z","185.1351","127.0907"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","37106.784","2023-07-01T00:00:00.000Z","291.9709","123.6893"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","48114.9137","2023-07-01T00:00:00.000Z","388.9982","120.2873"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","58675.1022","2023-07-01T00:00:00.000Z","487.7913","117.3502"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","115031.0304","2023-07-01T00:00:00.000Z","980.2372","115.0310"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","222640.704","2023-07-01T00:00:00.000Z","1935.4844","111.3204"
"2023-11-01T06:09:55.088Z","Sentinel","norwayeast","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","535729.194","2023-07-01T00:00:00.000Z","4812.4979","107.1458"
