"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7.0436","2023-07-01T00:00:00.000Z","0","7.0436"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","485.0817","2023-07-01T00:00:00.000Z","68.8684","4.8508"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","898.0614","2023-07-01T00:00:00.000Z","185.1368","4.4903"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","1311.0412","2023-07-01T00:00:00.000Z","291.9719","4.3701"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1699.981","2023-07-01T00:00:00.000Z","389.0028","4.25"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","2073.0882","2023-07-01T00:00:00.000Z","487.7855","4.1462"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4064.2276","2023-07-01T00:00:00.000Z","980.2295","4.0642"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7866.247","2023-07-01T00:00:00.000Z","1935.497","3.9331"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","18928.1567","2023-07-01T00:00:00.000Z","4812.5287","3.7856"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7.3496","2023-07-01T00:00:00.000Z","0","7.3496"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","506.1567","2023-07-01T00:00:00.000Z","68.8686","5.0616"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","937.0788","2023-07-01T00:00:00.000Z","185.1349","4.6854"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","1368.0009","2023-07-01T00:00:00.000Z","291.971","4.56"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1773.8387","2023-07-01T00:00:00.000Z","388.9997","4.4346"
