"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","660.8229","2023-07-01T00:00:00.000Z","0","660.8229"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","45509.9411","2023-07-01T00:00:00.000Z","68.8686","455.0994"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","84255.3381","2023-07-01T00:00:00.000Z","185.1361","421.2767"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","123000.735","2023-07-01T00:00:00.000Z","291.9714","410.0024"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","159490.7325","2023-07-01T00:00:00.000Z","388.9995","398.7268"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","194495.3258","2023-07-01T00:00:00.000Z","487.791","388.9907"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","381302.2785","2023-07-01T00:00:00.000Z","980.2349","381.3023"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","738004.41","2023-07-01T00:00:00.000Z","1935.4838","369.0022"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1775823.1116","2023-07-01T00:00:00.000Z","4812.5001","355.1646"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","664.9977","2023-07-01T00:00:00.000Z","0","664.9977"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","45797.452","2023-07-01T00:00:00.000Z","68.8686","457.9745"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","84787.6245","2023-07-01T00:00:00.000Z","185.1361","423.9381"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","123777.797","2023-07-01T00:00:00.000Z","291.9714","412.5927"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","160498.3215","2023-07-01T00:00:00.000Z","388.9994","401.2458"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","195724.0576","2023-07-01T00:00:00.000Z","487.7909","391.4481"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","383711.1707","2023-07-01T00:00:00.000Z","980.2351","383.7112"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","742666.782","2023-07-01T00:00:00.000Z","1935.4837","371.3334"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1787041.9442","2023-07-01T00:00:00.000Z","4812.4999","357.4084"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","665.1375","2023-07-01T00:00:00.000Z","0","665.1375"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","45807.0815","2023-07-01T00:00:00.000Z","68.8686","458.0708"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","84805.4523","2023-07-01T00:00:00.000Z","185.1361","424.0273"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","123803.823","2023-07-01T00:00:00.000Z","291.9713","412.6794"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","160532.0685","2023-07-01T00:00:00.000Z","388.9995","401.3302"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","195765.2114","2023-07-01T00:00:00.000Z","487.7909","391.5304"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","383791.8513","2023-07-01T00:00:00.000Z","980.2351","383.7919"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","742822.938","2023-07-01T00:00:00.000Z","1935.4836","371.4115"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1787417.6946","2023-07-01T00:00:00.000Z","4812.4996","357.4835"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","665.9166","2023-07-01T00:00:00.000Z","0","665.9166"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","45860.7319","2023-07-01T00:00:00.000Z","68.8686","458.6073"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","84904.7784","2023-07-01T00:00:00.000Z","185.1361","424.5239"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","123948.825","2023-07-01T00:00:00.000Z","291.9714","413.1628"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","160720.0875","2023-07-01T00:00:00.000Z","388.9994","401.8002"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","195994.4962","2023-07-01T00:00:00.000Z","487.7909","391.989"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","384241.3575","2023-07-01T00:00:00.000Z","980.2351","384.2414"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","743692.95","2023-07-01T00:00:00.000Z","1935.4837","371.8465"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1789511.1609","2023-07-01T00:00:00.000Z","4812.4997","357.9022"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","665.9765","2023-07-01T00:00:00.000Z","0","665.9765"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","45864.8588","2023-07-01T00:00:00.000Z","68.8686","458.6486"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","84912.4189","2023-07-01T00:00:00.000Z","185.1361","424.5621"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","123959.979","2023-07-01T00:00:00.000Z","291.9714","413.1999"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","160734.5505","2023-07-01T00:00:00.000Z","388.9995","401.8364"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","196012.1335","2023-07-01T00:00:00.000Z","487.7909","392.0243"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","384275.9349","2023-07-01T00:00:00.000Z","980.235","384.2759"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","743759.874","2023-07-01T00:00:00.000Z","1935.484","371.8799"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1789672.1968","2023-07-01T00:00:00.000Z","4812.5005","357.9344"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","664.2986","2023-07-01T00:00:00.000Z","0","664.2986"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","45749.3042","2023-07-01T00:00:00.000Z","68.8686","457.4930"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","84698.4856","2023-07-01T00:00:00.000Z","185.1361","423.4924"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","123647.667","2023-07-01T00:00:00.000Z","291.9714","412.1589"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","160329.5865","2023-07-01T00:00:00.000Z","388.9995","400.8240"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","195518.2891","2023-07-01T00:00:00.000Z","487.7909","391.0366"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","383307.7677","2023-07-01T00:00:00.000Z","980.2350","383.3078"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","741886.002","2023-07-01T00:00:00.000Z","1935.4837","370.9430"
