"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","254.7731","2023-07-01T00:00:00.000Z","0","254.7731"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","17545.8655","2023-07-01T00:00:00.000Z","68.8686","175.4587"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","32483.7341","2023-07-01T00:00:00.000Z","185.1361","162.4187"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","47421.6028","2023-07-01T00:00:00.000Z","291.9713","158.072"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","61489.9266","2023-07-01T00:00:00.000Z","388.9995","153.7248"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","74985.5689","2023-07-01T00:00:00.000Z","487.791","149.9711"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","147006.9687","2023-07-01T00:00:00.000Z","980.2353","147.007"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","284529.6168","2023-07-01T00:00:00.000Z","1935.4835","142.2648"
"2023-09-11T15:21:36.457Z","Sentinel","norwaywest","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","684649.3904","2023-07-01T00:00:00.000Z","4812.5003","136.9299"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","257.7015","2023-07-01T00:00:00.000Z","0","257.7015"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","17747.5358","2023-07-01T00:00:00.000Z","68.8686","177.4754"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","32857.0987","2023-07-01T00:00:00.000Z","185.1361","164.2855"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","47966.6616","2023-07-01T00:00:00.000Z","291.9714","159.8889"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","62196.6852","2023-07-01T00:00:00.000Z","388.9994","155.4917"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","75847.4449","2023-07-01T00:00:00.000Z","487.791","151.6949"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","148696.651","2023-07-01T00:00:00.000Z","980.235","148.6967"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","287799.9696","2023-07-01T00:00:00.000Z","1935.4832","143.9"
"2023-10-02T06:09:57.719Z","Sentinel","norwaywest","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","692518.6768","2023-07-01T00:00:00.000Z","4812.4995","138.5037"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","259.1636","2023-07-01T00:00:00.000Z","0","259.1636"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","17848.2334","2023-07-01T00:00:00.000Z","68.8686","178.4823"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","33043.5263","2023-07-01T00:00:00.000Z","185.1362","165.2176"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","48238.8192","2023-07-01T00:00:00.000Z","291.9714","160.7961"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","62549.5824","2023-07-01T00:00:00.000Z","388.9994","156.374"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","76277.795","2023-07-01T00:00:00.000Z","487.7908","152.5556"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","149540.3395","2023-07-01T00:00:00.000Z","980.235","149.5403"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","289432.9152","2023-07-01T00:00:00.000Z","1935.4844","144.7165"
"2023-11-01T06:09:55.088Z","Sentinel","norwaywest","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","696447.9522","2023-07-01T00:00:00.000Z","4812.4986","139.2896"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","251.4133","2023-07-01T00:00:00.000Z","0","251.4133"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","17314.4812","2023-07-01T00:00:00.000Z","68.8686","173.1448"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","32055.3582","2023-07-01T00:00:00.000Z","185.1361","160.2768"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","46796.2352","2023-07-01T00:00:00.000Z","291.9714","155.9875"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","60679.0344","2023-07-01T00:00:00.000Z","388.9993","151.6976"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","73996.7042","2023-07-01T00:00:00.000Z","487.7909","147.9934"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","145068.3291","2023-07-01T00:00:00.000Z","980.2351","145.0683"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","280777.4112","2023-07-01T00:00:00.000Z","1935.4843","140.3887"
"2023-12-02T06:09:12.946Z","Sentinel","norwaywest","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","675620.6457","2023-07-01T00:00:00.000Z","4812.5002","135.1241"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","246.859","2023-07-01T00:00:00.000Z","0","246.859"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","17000.833","2023-07-01T00:00:00.000Z","68.8686","170.0083"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","31474.6821","2023-07-01T00:00:00.000Z","185.1361","157.3734"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","45948.5312","2023-07-01T00:00:00.000Z","291.9714","153.1618"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","59579.8464","2023-07-01T00:00:00.000Z","388.9994","148.9496"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","72656.2694","2023-07-01T00:00:00.000Z","487.791","145.3125"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","142440.4467","2023-07-01T00:00:00.000Z","980.2353","142.4404"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","275691.1872","2023-07-01T00:00:00.000Z","1935.4845","137.8456"
"2024-01-01T06:10:32.426Z","Sentinel","norwaywest","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","663381.9192","2023-07-01T00:00:00.000Z","4812.4998","132.6764"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","249.4997","2023-07-01T00:00:00.000Z","0","249.4997"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","17182.6939","2023-07-01T00:00:00.000Z","68.8686","171.8269"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","31811.3723","2023-07-01T00:00:00.000Z","185.1362","159.0569"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","46440.0508","2023-07-01T00:00:00.000Z","291.9713","154.8002"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","60217.1826","2023-07-01T00:00:00.000Z","388.9994","150.543"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","73433.4865","2023-07-01T00:00:00.000Z","487.7908","146.867"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","143964.1575","2023-07-01T00:00:00.000Z","980.2349","143.9642"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","278640.3048","2023-07-01T00:00:00.000Z","1935.4833","139.3202"
"2024-02-02T06:09:14.625Z","Sentinel","norwaywest","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","670478.2334","2023-07-01T00:00:00.000Z","4812.4984","134.0956"
"2024-03-02T06:09:37.412Z","Sentinel","norwaywest","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","252.4281","2023-07-01T00:00:00.000Z","0","252.4281"
"2024-03-02T06:09:37.412Z","Sentinel","norwaywest","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","17384.3642","2023-07-01T00:00:00.000Z","68.8686","173.8436"
"2024-03-02T06:09:37.412Z","Sentinel","norwaywest","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","32184.7369","2023-07-01T00:00:00.000Z","185.1362","160.9237"
"2024-03-02T06:09:37.412Z","Sentinel","norwaywest","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","46985.1096","2023-07-01T00:00:00.000Z","291.9713","156.6170"
"2024-03-02T06:09:37.412Z","Sentinel","norwaywest","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","60923.9412","2023-07-01T00:00:00.000Z","388.9995","152.3099"
"2024-03-02T06:09:37.412Z","Sentinel","norwaywest","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","74295.3625","2023-07-01T00:00:00.000Z","487.7908","148.5907"
"2024-03-02T06:09:37.412Z","Sentinel","norwaywest","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","145653.8398","2023-07-01T00:00:00.000Z","980.2352","145.6538"
"2024-03-02T06:09:37.412Z","Sentinel","norwaywest","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","281910.6576","2023-07-01T00:00:00.000Z","1935.4844","140.9553"
"2024-03-02T06:09:37.412Z","Sentinel","norwaywest","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","678347.5199","2023-07-01T00:00:00.000Z","4812.5010","135.6695"
