"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","10.6807","2023-07-01T00:00:00.000Z","0","10.6807"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","735.2325","2023-07-01T00:00:00.000Z","68.8375","7.3523"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1361.1736","2023-07-01T00:00:00.000Z","185.1358","6.8059"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1987.1148","2023-07-01T00:00:00.000Z","291.9694","6.6237"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2576.6204","2023-07-01T00:00:00.000Z","389.0002","6.4416"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","3142.1253","2023-07-01T00:00:00.000Z","487.7865","6.2843"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","6160.0559","2023-07-01T00:00:00.000Z","980.2294","6.1601"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","11922.6888","2023-07-01T00:00:00.000Z","1935.47","5.9613"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","28688.97","2023-07-01T00:00:00.000Z","4812.5359","5.7378"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","10.7888","2023-07-01T00:00:00.000Z","0","10.7888"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","742.669","2023-07-01T00:00:00.000Z","68.8370","7.4267"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1374.9412","2023-07-01T00:00:00.000Z","185.1349","6.8747"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","2007.2134","2023-07-01T00:00:00.000Z","291.9711","6.6907"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2602.6815","2023-07-01T00:00:00.000Z","388.9999","6.5067"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","3173.9062","2023-07-01T00:00:00.000Z","487.7905","6.3478"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","6222.3616","2023-07-01T00:00:00.000Z","980.2391","6.2224"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","12043.2805","2023-07-01T00:00:00.000Z","1935.4719","6.0216"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","28979.1438","2023-07-01T00:00:00.000Z","4812.5322","5.7958"
