"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","1006.6816","2023-07-01T00:00:00.000Z","0","1006.6816"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","69297.152","2023-07-01T00:00:00.000Z","68.8372","692.9715"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","128293.376","2023-07-01T00:00:00.000Z","185.1351","641.4669"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","187289.6","2023-07-01T00:00:00.000Z","291.9708","624.2987"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","242851.6936","2023-07-01T00:00:00.000Z","388.9992","607.1292"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","296151.68","2023-07-01T00:00:00.000Z","487.7902","592.3034"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","580597.76","2023-07-01T00:00:00.000Z","980.2371","580.5978"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1123737.6","2023-07-01T00:00:00.000Z","1935.4837","561.8688"
"2023-09-11T15:21:36.457Z","Sentinel","southafricawest","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2703993.6","2023-07-01T00:00:00.000Z","4812.5","540.7987"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","1028.388","2023-07-01T00:00:00.000Z","0","1028.388"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","70791.36","2023-07-01T00:00:00.000Z","68.8372","707.9136"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","131059.68","2023-07-01T00:00:00.000Z","185.1351","655.2984"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","191328","2023-07-01T00:00:00.000Z","291.9708","637.76"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","248088.1418","2023-07-01T00:00:00.000Z","388.9992","620.2204"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","302537.4","2023-07-01T00:00:00.000Z","487.7901","605.0748"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","593116.8","2023-07-01T00:00:00.000Z","980.2372","593.1168"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1147968","2023-07-01T00:00:00.000Z","1935.4839","573.984"
"2023-10-02T06:09:57.719Z","Sentinel","southafricawest","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2762298","2023-07-01T00:00:00.000Z","4812.5","552.4596"
"2023-11-01T06:09:55.088Z","Sentinel","southafricawest","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","1029.2824","2023-07-01T00:00:00.000Z","0","1029.2824"
"2023-11-01T06:09:55.088Z","Sentinel","southafricawest","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","70852.928","2023-07-01T00:00:00.000Z","68.8372","708.5293"
"2023-11-01T06:09:55.088Z","Sentinel","southafricawest","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","131173.664","2023-07-01T00:00:00.000Z","185.1351","655.8683"
"2023-11-01T06:09:55.088Z","Sentinel","southafricawest","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","191494.4","2023-07-01T00:00:00.000Z","291.9708","638.3147"
"2023-11-01T06:09:55.088Z","Sentinel","southafricawest","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","248303.9066","2023-07-01T00:00:00.000Z","388.9992","620.7598"
"2023-11-01T06:09:55.088Z","Sentinel","southafricawest","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","302800.52","2023-07-01T00:00:00.000Z","487.7902","605.601"
"2023-11-01T06:09:55.088Z","Sentinel","southafricawest","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","593632.64","2023-07-01T00:00:00.000Z","980.2372","593.6326"
"2023-11-01T06:09:55.088Z","Sentinel","southafricawest","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1148966.4","2023-07-01T00:00:00.000Z","1935.484","574.4832"
"2023-11-01T06:09:55.088Z","Sentinel","southafricawest","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2764700.4","2023-07-01T00:00:00.000Z","4812.5","552.9401"
"2023-12-02T06:09:12.946Z","Sentinel","southafricawest","JPY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","1017.4144","2023-07-01T00:00:00.000Z","0","1017.4144"
"2023-12-02T06:09:12.946Z","Sentinel","southafricawest","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","70035.968","2023-07-01T00:00:00.000Z","68.8372","700.3597"
"2023-12-02T06:09:12.946Z","Sentinel","southafricawest","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","129661.184","2023-07-01T00:00:00.000Z","185.1351","648.3059"
"2023-12-02T06:09:12.946Z","Sentinel","southafricawest","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","189286.4","2023-07-01T00:00:00.000Z","291.9708","630.9547"
"2023-12-02T06:09:12.946Z","Sentinel","southafricawest","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","245440.8724","2023-07-01T00:00:00.000Z","388.9992","613.6022"
"2023-12-02T06:09:12.946Z","Sentinel","southafricawest","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","299309.12","2023-07-01T00:00:00.000Z","487.7902","598.6182"
"2023-12-02T06:09:12.946Z","Sentinel","southafricawest","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","586787.84","2023-07-01T00:00:00.000Z","980.2372","586.7878"
"2023-12-02T06:09:12.946Z","Sentinel","southafricawest","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1135718.4","2023-07-01T00:00:00.000Z","1935.4840","567.8592"
"2023-12-02T06:09:12.946Z","Sentinel","southafricawest","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","2732822.4","2023-07-01T00:00:00.000Z","4812.5","546.5645"
