"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.5488","2023-07-01T00:00:00.000Z","0","4.5488"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","299.3039","2023-07-01T00:00:00.000Z","65.7984","2.993"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","553.7544","2023-07-01T00:00:00.000Z","185.0165","2.7688"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","808.205","2023-07-01T00:00:00.000Z","291.8972","2.694"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1047.7045","2023-07-01T00:00:00.000Z","388.9029","2.6193"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1277.1896","2023-07-01T00:00:00.000Z","487.6072","2.5544"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2503.602","2023-07-01T00:00:00.000Z","980.1135","2.5036"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4843.5883","2023-07-01T00:00:00.000Z","1934.6494","2.4218"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","11650.5648","2023-07-01T00:00:00.000Z","4810.7048","2.3301"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.7464","2023-07-01T00:00:00.000Z","0","4.7464"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","312.3075","2023-07-01T00:00:00.000Z","65.7988","3.1231"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","577.813","2023-07-01T00:00:00.000Z","185.0126","2.8891"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","843.3185","2023-07-01T00:00:00.000Z","291.8966","2.8111"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1093.2233","2023-07-01T00:00:00.000Z","388.8952","2.7331"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1332.6787","2023-07-01T00:00:00.000Z","487.6070","2.6654"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2612.374","2023-07-01T00:00:00.000Z","980.1058","2.6124"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5054.0238","2023-07-01T00:00:00.000Z","1934.6286","2.5270"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12156.7376","2023-07-01T00:00:00.000Z","4810.7391","2.4313"
