"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","37.6252","2023-07-01T00:00:00.000Z","0","37.6252"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2475.678","2023-07-01T00:00:00.000Z","65.7984","24.7568"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","4580.3543","2023-07-01T00:00:00.000Z","185.014","22.9018"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","6685.0306","2023-07-01T00:00:00.000Z","291.8998","22.2834"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","8666.0396","2023-07-01T00:00:00.000Z","388.9011","21.6651"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","10564.215","2023-07-01T00:00:00.000Z","487.6144","21.1284"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","20708.428","2023-07-01T00:00:00.000Z","980.1229","20.7084"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","40063.5165","2023-07-01T00:00:00.000Z","1934.6505","20.0318"
"2023-09-11T15:21:36.457Z","Sentinel","southcentralus","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","96367.1072","2023-07-01T00:00:00.000Z","4810.7063","19.2734"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","37.7121","2023-07-01T00:00:00.000Z","0","37.7121"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","2481.3989","2023-07-01T00:00:00.000Z","65.7985","24.814"
"2023-10-02T06:09:57.719Z","Sentinel","southcentralus","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","4590.9388","2023-07-01T00:00:00.000Z","185.0141","22.9547"
