"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.6781","2023-07-01T00:00:00.000Z","0","8.6781"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","597.3764","2023-07-01T00:00:00.000Z","68.8372","5.9738"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1105.9536","2023-07-01T00:00:00.000Z","185.134","5.5298"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1614.5308","2023-07-01T00:00:00.000Z","291.9691","5.3818"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2093.5031","2023-07-01T00:00:00.000Z","388.9968","5.2338"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2552.9768","2023-07-01T00:00:00.000Z","487.7865","5.106"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5005.0454","2023-07-01T00:00:00.000Z","980.2282","5.005"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9687.1847","2023-07-01T00:00:00.000Z","1935.5014","4.8436"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","23309.7881","2023-07-01T00:00:00.000Z","4812.4924","4.662"
"2023-10-02T06:09:57.719Z","Sentinel","southeastasia","AUD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.7659","2023-07-01T00:00:00.000Z","0","8.7659"
