"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","61.2737","2023-07-01T00:00:00.000Z","0","61.2737"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4217.9082","2023-07-01T00:00:00.000Z","68.8372","42.1791"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7808.8301","2023-07-01T00:00:00.000Z","185.1351","39.0442"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11399.752","2023-07-01T00:00:00.000Z","291.9704","37.9992"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14781.6419","2023-07-01T00:00:00.000Z","388.9988","36.9541"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","18025.8578","2023-07-01T00:00:00.000Z","487.7905","36.0517"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","35339.2312","2023-07-01T00:00:00.000Z","980.2376","35.3392"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","68398.512","2023-07-01T00:00:00.000Z","1935.4856","34.1993"
"2023-09-11T15:21:36.457Z","Sentinel","southeastasia","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","164583.9195","2023-07-01T00:00:00.000Z","4812.4938","32.9168"
"2023-10-02T06:09:57.719Z","Sentinel","southeastasia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","61.5532","2023-07-01T00:00:00.000Z","0","61.5532"
"2023-10-02T06:09:57.719Z","Sentinel","southeastasia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4237.1482","2023-07-01T00:00:00.000Z","68.8372","42.3715"
"2023-10-02T06:09:57.719Z","Sentinel","southeastasia","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7844.4501","2023-07-01T00:00:00.000Z","185.1351","39.2223"
