"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","CAD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.7995","2023-07-01T00:00:00.000Z","0","8.7995"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","607.8879","2023-07-01T00:00:00.000Z","69.0821","6.0789"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1125.4142","2023-07-01T00:00:00.000Z","185.1345","5.6271"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1642.9404","2023-07-01T00:00:00.000Z","291.9693","5.4765"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2130.3415","2023-07-01T00:00:00.000Z","388.9969","5.3259"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","CAD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2597.8995","2023-07-01T00:00:00.000Z","487.786","5.1958"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","CAD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5093.1152","2023-07-01T00:00:00.000Z","980.237","5.0931"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","CAD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9857.6424","2023-07-01T00:00:00.000Z","1935.4897","4.9288"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","CAD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","23719.952","2023-07-01T00:00:00.000Z","4812.5207","4.744"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","CAD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.7458","2023-07-01T00:00:00.000Z","0","8.7458"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","604.1782","2023-07-01T00:00:00.000Z","69.0821","6.0418"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1118.5461","2023-07-01T00:00:00.000Z","185.1346","5.5927"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1632.914","2023-07-01T00:00:00.000Z","291.9724","5.443"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","2117.3406","2023-07-01T00:00:00.000Z","389.0025","5.2934"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","CAD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2582.0453","2023-07-01T00:00:00.000Z","487.7858","5.1641"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","CAD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5062.0334","2023-07-01T00:00:00.000Z","980.2354","5.062"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","CAD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","9797.484","2023-07-01T00:00:00.000Z","1935.4966","4.8987"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","CAD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","23575.1959","2023-07-01T00:00:00.000Z","4812.5413","4.715"
