"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","DKK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","44.5353","2023-07-01T00:00:00.000Z","0","44.5353"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","DKK","100 GB Commitment Tier Capacity Reservation","100","1/Day","3076.5821","2023-07-01T00:00:00.000Z","69.0819","30.7658"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","DKK","200 GB Commitment Tier Capacity Reservation","200","1/Day","5695.8345","2023-07-01T00:00:00.000Z","185.1353","28.4792"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","DKK","300 GB Commitment Tier Capacity Reservation","300","1/Day","8315.0868","2023-07-01T00:00:00.000Z","291.9705","27.717"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","DKK","400 GB Commitment Tier Capacity Reservation","400","1/Day","10781.8729","2023-07-01T00:00:00.000Z","388.9986","26.9547"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","DKK","500 GB Commitment Tier Capacity Reservation","500","1/Day","13148.231","2023-07-01T00:00:00.000Z","487.7899","26.2965"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","DKK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","25776.7691","2023-07-01T00:00:00.000Z","980.2357","25.7768"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","DKK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","49890.5208","2023-07-01T00:00:00.000Z","1935.4815","24.9453"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","DKK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","120049.0657","2023-07-01T00:00:00.000Z","4812.4924","24.0098"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","DKK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","45.893","2023-07-01T00:00:00.000Z","0","45.893"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","DKK","100 GB Commitment Tier Capacity Reservation","100","1/Day","3170.3767","2023-07-01T00:00:00.000Z","69.0819","31.7038"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","DKK","200 GB Commitment Tier Capacity Reservation","200","1/Day","5869.4811","2023-07-01T00:00:00.000Z","185.1349","29.3474"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","DKK","300 GB Commitment Tier Capacity Reservation","300","1/Day","8568.5856","2023-07-01T00:00:00.000Z","291.9709","28.5620"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","DKK","400 GB Commitment Tier Capacity Reservation","400","1/Day","11110.5757","2023-07-01T00:00:00.000Z","388.9985","27.7764"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","DKK","500 GB Commitment Tier Capacity Reservation","500","1/Day","13549.076","2023-07-01T00:00:00.000Z","487.7909","27.0982"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","DKK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","26562.6154","2023-07-01T00:00:00.000Z","980.2354","26.5626"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","DKK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","51411.5136","2023-07-01T00:00:00.000Z","1935.4850","25.7058"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","DKK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","123708.9546","2023-07-01T00:00:00.000Z","4812.4919","24.7418"
