"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","70.9196","2023-07-01T00:00:00.000Z","0","70.9196"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4899.2626","2023-07-01T00:00:00.000Z","69.0819","48.9926"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","9070.2565","2023-07-01T00:00:00.000Z","185.1352","45.3513"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","13241.2504","2023-07-01T00:00:00.000Z","291.9707","44.1375"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","17169.4515","2023-07-01T00:00:00.000Z","388.9992","42.9236"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","20937.7272","2023-07-01T00:00:00.000Z","487.7906","41.8755"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","41047.8762","2023-07-01T00:00:00.000Z","980.2361","41.0479"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","79447.5024","2023-07-01T00:00:00.000Z","1935.4828","39.7238"
"2023-09-11T15:21:36.457Z","Sentinel","southindia","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","191170.5526","2023-07-01T00:00:00.000Z","4812.4941","38.2341"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","71.2431","2023-07-01T00:00:00.000Z","0","71.2431"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4921.6106","2023-07-01T00:00:00.000Z","69.0819","49.2161"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","9111.6305","2023-07-01T00:00:00.000Z","185.1352","45.5582"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","13301.6504","2023-07-01T00:00:00.000Z","291.9705","44.3388"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","17247.77","2023-07-01T00:00:00.000Z","388.9995","43.1194"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","21033.2347","2023-07-01T00:00:00.000Z","487.7905","42.0665"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","41235.1162","2023-07-01T00:00:00.000Z","980.2364","41.2351"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","79809.9024","2023-07-01T00:00:00.000Z","1935.4846","39.905"
"2023-10-02T06:09:57.719Z","Sentinel","southindia","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","192042.5776","2023-07-01T00:00:00.000Z","4812.4941","38.4085"
"2023-11-01T06:09:55.088Z","Sentinel","southindia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","71.9842","2023-07-01T00:00:00.000Z","0","71.9842"
"2023-11-01T06:09:55.088Z","Sentinel","southindia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4972.8099","2023-07-01T00:00:00.000Z","69.0820","49.7281"
"2023-11-01T06:09:55.088Z","Sentinel","southindia","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","9206.4184","2023-07-01T00:00:00.000Z","185.1351","46.0321"
"2023-11-01T06:09:55.088Z","Sentinel","southindia","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","13440.0268","2023-07-01T00:00:00.000Z","291.9708","44.8001"
"2023-11-01T06:09:55.088Z","Sentinel","southindia","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","17427.1977","2023-07-01T00:00:00.000Z","388.9991","43.5680"
"2023-11-01T06:09:55.088Z","Sentinel","southindia","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","21252.0424","2023-07-01T00:00:00.000Z","487.7902","42.5041"
"2023-11-01T06:09:55.088Z","Sentinel","southindia","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","41664.0831","2023-07-01T00:00:00.000Z","980.2368","41.6641"
"2023-11-01T06:09:55.088Z","Sentinel","southindia","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","80640.1608","2023-07-01T00:00:00.000Z","1935.4831","40.3201"
"2023-11-01T06:09:55.088Z","Sentinel","southindia","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","194040.3869","2023-07-01T00:00:00.000Z","4812.4977","38.8081"
