"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.8286","2024-02-01T00:00:00.000Z","0","4.8286"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","330.6972","2024-02-01T00:00:00.000Z","68.4872","3.307"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","612.1923","2024-02-01T00:00:00.000Z","185.1201","3.061"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","893.6875","2024-02-01T00:00:00.000Z","291.9593","2.979"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1158.7791","2024-02-01T00:00:00.000Z","388.9826","2.8969"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1413.0472","2024-02-01T00:00:00.000Z","487.7791","2.8261"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2770.2066","2024-02-01T00:00:00.000Z","980.2224","2.7702"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5361.4338","2024-02-01T00:00:00.000Z","1935.3959","2.6807"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12900.4211","2024-02-01T00:00:00.000Z","4812.333","2.5801"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.915","2024-02-01T00:00:00.000Z","0","4.915"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","336.6121","2024-02-01T00:00:00.000Z","68.4867","3.3661"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","623.1421","2024-02-01T00:00:00.000Z","185.1229","3.1157"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","909.672","2024-02-01T00:00:00.000Z","291.9639","3.0322"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1179.5051","2024-02-01T00:00:00.000Z","388.9932","2.9488"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1438.3211","2024-02-01T00:00:00.000Z","487.7649","2.8766"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2819.7547","2024-02-01T00:00:00.000Z","980.2387","2.8198"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5457.3289","2024-02-01T00:00:00.000Z","1935.3603","2.7287"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","13131.1591","2024-02-01T00:00:00.000Z","4812.2399","2.6262"
