"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7466.8425","2024-02-01T00:00:00.000Z","0","7466.8425"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","511378.53","2024-02-01T00:00:00.000Z","68.4866","5113.7853"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","946672.74","2024-02-01T00:00:00.000Z","185.1217","4733.3637"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1381966.95","2024-02-01T00:00:00.000Z","291.963","4606.5565"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1791895.2675","2024-02-01T00:00:00.000Z","388.988","4479.7382"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2185086.6375","2024-02-01T00:00:00.000Z","487.7711","4370.1733"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4283750.25","2024-02-01T00:00:00.000Z","980.2243","4283.7502"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8290733.1","2024-02-01T00:00:00.000Z","1935.3914","4145.3666"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","19948758.375","2024-02-01T00:00:00.000Z","4812.3026","3989.7517"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7440.0105","2024-02-01T00:00:00.000Z","0","7440.0105"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","509540.898","2024-02-01T00:00:00.000Z","68.4866","5095.409"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","943270.884","2024-02-01T00:00:00.000Z","185.1217","4716.3544"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1377000.87","2024-02-01T00:00:00.000Z","291.963","4590.0029"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1785456.1155","2024-02-01T00:00:00.000Z","388.988","4463.6403"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2177234.5575","2024-02-01T00:00:00.000Z","487.7711","4354.4691"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4268356.65","2024-02-01T00:00:00.000Z","980.2244","4268.3566"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8260940.46","2024-02-01T00:00:00.000Z","1935.3914","4130.4702"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","19877072.775","2024-02-01T00:00:00.000Z","4812.3027","3975.4146"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7488.0845","2024-02-01T00:00:00.000Z","0","7488.0845"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","512833.322","2024-02-01T00:00:00.000Z","68.4866","5128.3332"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","949365.876","2024-02-01T00:00:00.000Z","185.1217","4746.8294"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1385898.43","2024-02-01T00:00:00.000Z","291.963","4619.6614"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1796992.9295","2024-02-01T00:00:00.000Z","388.988","4492.4823"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2191302.8675","2024-02-01T00:00:00.000Z","487.7711","4382.6057"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4295936.85","2024-02-01T00:00:00.000Z","980.2244","4295.9368"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8314318.94","2024-02-01T00:00:00.000Z","1935.3914","4157.1595"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","20005509.475","2024-02-01T00:00:00.000Z","4812.3026","4001.1019"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7688.486","2024-02-01T00:00:00.000Z","0","7688.486"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","526558.136","2024-02-01T00:00:00.000Z","68.4866","5265.5814"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","974773.488","2024-02-01T00:00:00.000Z","185.1217","4873.8674"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1422988.84","2024-02-01T00:00:00.000Z","291.9630","4743.2961"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1845085.346","2024-02-01T00:00:00.000Z","388.9880","4612.7134"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2249948.09","2024-02-01T00:00:00.000Z","487.7711","4499.8962"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4410907.8","2024-02-01T00:00:00.000Z","980.2243","4410.9078"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8536832.72","2024-02-01T00:00:00.000Z","1935.3913","4268.4164"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","20540911.3","2024-02-01T00:00:00.000Z","4812.3026","4108.1823"
