"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","58.4806","2024-02-01T00:00:00.000Z","0","58.4806"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4005.1381","2024-02-01T00:00:00.000Z","68.4866","40.0514"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7414.3806","2024-02-01T00:00:00.000Z","185.1216","37.0719"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","10823.6231","2024-02-01T00:00:00.000Z","291.963","36.0787"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14034.1989","2024-02-01T00:00:00.000Z","388.9885","35.0855"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17113.6902","2024-02-01T00:00:00.000Z","487.771","34.2274"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","33550.5115","2024-02-01T00:00:00.000Z","980.2238","33.5505"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","64933.3692","2024-02-01T00:00:00.000Z","1935.392","32.4667"
"2024-02-02T06:09:14.625Z","Sentinel","spaincentral","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","156239.5119","2024-02-01T00:00:00.000Z","4812.3004","31.2479"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","58.8501","2024-02-01T00:00:00.000Z","0","58.8501"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4030.4438","2024-02-01T00:00:00.000Z","68.4866","40.3044"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7461.227","2024-02-01T00:00:00.000Z","185.1219","37.3061"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","10892.0101","2024-02-01T00:00:00.000Z","291.9632","36.3067"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14122.8713","2024-02-01T00:00:00.000Z","388.988","35.3072"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17221.8198","2024-02-01T00:00:00.000Z","487.7708","34.4436"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","33762.4942","2024-02-01T00:00:00.000Z","980.2255","33.7625"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","65343.6387","2024-02-01T00:00:00.000Z","1935.391","32.6718"
"2024-03-02T06:09:37.412Z","Sentinel","spaincentral","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","157226.6824","2024-02-01T00:00:00.000Z","4812.3055","31.4453"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","60.0752","2024-02-01T00:00:00.000Z","0","60.0752"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4114.3432","2024-02-01T00:00:00.000Z","68.4866","41.1434"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7616.543","2024-02-01T00:00:00.000Z","185.1219","38.0827"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11118.7427","2024-02-01T00:00:00.000Z","291.9631","37.0625"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14416.8589","2024-02-01T00:00:00.000Z","388.9878","36.0421"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17580.3164","2024-02-01T00:00:00.000Z","487.7717","35.1606"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","34465.3083","2024-02-01T00:00:00.000Z","980.2253","34.4653"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","66703.8589","2024-02-01T00:00:00.000Z","1935.3918","33.3519"
"2024-04-03T09:27:52.666Z","Sentinel","spaincentral","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","160499.578","2024-02-01T00:00:00.000Z","4812.3069","32.0999"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","61.6613","2024-02-01T00:00:00.000Z","0","61.6613"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4222.974","2024-02-01T00:00:00.000Z","68.4866","42.2297"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7817.6423","2024-02-01T00:00:00.000Z","185.1219","39.0882"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11412.3105","2024-02-01T00:00:00.000Z","291.9631","38.041"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14797.5067","2024-02-01T00:00:00.000Z","388.9884","36.9938"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","18044.4888","2024-02-01T00:00:00.000Z","487.7706","36.089"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","35375.2945","2024-02-01T00:00:00.000Z","980.2237","35.3753"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","68465.0384","2024-02-01T00:00:00.000Z","1935.391","34.2325"
"2024-05-02T06:10:09.767Z","Sentinel","spaincentral","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","164737.2424","2024-02-01T00:00:00.000Z","4812.3053","32.9474"
"2024-06-02T06:11:37.485Z","Sentinel","spaincentral","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","59.043","2024-02-01T00:00:00.000Z","0","59.043"
"2024-06-02T06:11:37.485Z","Sentinel","spaincentral","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4043.6518","2024-02-01T00:00:00.000Z","68.4866","40.4365"
"2024-06-02T06:11:37.485Z","Sentinel","spaincentral","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7485.6778","2024-02-01T00:00:00.000Z","185.1218","37.4284"
"2024-06-02T06:11:37.485Z","Sentinel","spaincentral","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","10927.7039","2024-02-01T00:00:00.000Z","291.9629","36.4257"
"2024-06-02T06:11:37.485Z","Sentinel","spaincentral","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14169.1528","2024-02-01T00:00:00.000Z","388.9878","35.4229"
"2024-06-02T06:11:37.485Z","Sentinel","spaincentral","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17278.2567","2024-02-01T00:00:00.000Z","487.7708","34.5565"
"2024-06-02T06:11:37.485Z","Sentinel","spaincentral","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","33873.1358","2024-02-01T00:00:00.000Z","980.2247","33.8731"
"2024-06-02T06:11:37.485Z","Sentinel","spaincentral","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","65557.7733","2024-02-01T00:00:00.000Z","1935.3934","32.7789"
"2024-06-02T06:11:37.485Z","Sentinel","spaincentral","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","157741.9226","2024-02-01T00:00:00.000Z","4812.3007","31.5484"
"2024-07-01T06:13:08.279Z","Sentinel","spaincentral","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","59.6783","2024-02-01T00:00:00.000Z","0","59.6783"
"2024-07-01T06:13:08.279Z","Sentinel","spaincentral","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4087.1616","2024-02-01T00:00:00.000Z","68.4866","40.8716"
"2024-07-01T06:13:08.279Z","Sentinel","spaincentral","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7566.2238","2024-02-01T00:00:00.000Z","185.1218","37.8311"
"2024-07-01T06:13:08.279Z","Sentinel","spaincentral","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11045.2861","2024-02-01T00:00:00.000Z","291.9631","36.8176"
"2024-07-01T06:13:08.279Z","Sentinel","spaincentral","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14321.6131","2024-02-01T00:00:00.000Z","388.9882","35.804"
"2024-07-01T06:13:08.279Z","Sentinel","spaincentral","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17464.171","2024-02-01T00:00:00.000Z","487.7715","34.9283"
"2024-07-01T06:13:08.279Z","Sentinel","spaincentral","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","34237.6113","2024-02-01T00:00:00.000Z","980.2255","34.2376"
"2024-07-01T06:13:08.279Z","Sentinel","spaincentral","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","66263.1761","2024-02-01T00:00:00.000Z","1935.392","33.1316"
