"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","46.4481","2023-07-01T00:00:00.000Z","0","46.4481"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","3627.6207","2023-07-01T00:00:00.000Z","78.1005","36.2762"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","6715.4369","2023-07-01T00:00:00.000Z","185.1196","33.5772"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","9803.2531","2023-07-01T00:00:00.000Z","291.9616","32.6775"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","12711.1102","2023-07-01T00:00:00.000Z","388.9866","31.7778"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","15500.2584","2023-07-01T00:00:00.000Z","487.77","31.0005"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","30387.4306","2023-07-01T00:00:00.000Z","980.2239","30.3874"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","58811.3522","2023-07-01T00:00:00.000Z","1935.3861","29.4057"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","141508.5636","2023-07-01T00:00:00.000Z","4812.2835","28.3017"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","CNY","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","46.5555","2023-07-01T00:00:00.000Z","0","46.5555"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","3636.0036","2023-07-01T00:00:00.000Z","78.1004","36.3600"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","6730.9553","2023-07-01T00:00:00.000Z","185.1198","33.6548"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","9825.907","2023-07-01T00:00:00.000Z","291.9615","32.7530"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","12740.4836","2023-07-01T00:00:00.000Z","388.9868","31.8512"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","15536.0771","2023-07-01T00:00:00.000Z","487.7705","31.0722"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","30457.6513","2023-07-01T00:00:00.000Z","980.2219","30.4577"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","58947.2562","2023-07-01T00:00:00.000Z","1935.3811","29.4736"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","141835.5681","2023-07-01T00:00:00.000Z","4812.2920","28.3671"
