"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8421.14","2023-07-01T00:00:00.000Z","0","8421.14"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","657695","2023-07-01T00:00:00.000Z","78.1005","6576.95"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","1217522.34","2023-07-01T00:00:00.000Z","185.1196","6087.6117"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1777349.68","2023-07-01T00:00:00.000Z","291.9617","5924.4989"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","2304550.06","2023-07-01T00:00:00.000Z","388.9865","5761.3752"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2810228.28","2023-07-01T00:00:00.000Z","487.7704","5620.4566"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5509302.8","2023-07-01T00:00:00.000Z","980.2234","5509.3028"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","10662617.44","2023-07-01T00:00:00.000Z","1935.3842","5331.3087"
"2023-09-11T15:21:36.457Z","Sentinel","swedensouth","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","25655789.6","2023-07-01T00:00:00.000Z","4812.2874","5131.1579"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8595.678","2023-07-01T00:00:00.000Z","0","8595.678"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","671326.5","2023-07-01T00:00:00.000Z","78.1005","6713.265"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","1242756.918","2023-07-01T00:00:00.000Z","185.1196","6213.7846"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1814187.336","2023-07-01T00:00:00.000Z","291.9617","6047.2911"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","2352314.562","2023-07-01T00:00:00.000Z","388.9865","5880.7864"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2868473.556","2023-07-01T00:00:00.000Z","487.7704","5736.9471"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5623489.56","2023-07-01T00:00:00.000Z","980.2234","5623.4896"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","10883612.688","2023-07-01T00:00:00.000Z","1935.3842","5441.8063"
"2023-10-02T06:09:57.719Z","Sentinel","swedensouth","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","26187535.92","2023-07-01T00:00:00.000Z","4812.2874","5237.5072"
"2023-11-01T06:09:55.088Z","Sentinel","swedensouth","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8636.7645","2023-07-01T00:00:00.000Z","0","8636.7645"
"2023-11-01T06:09:55.088Z","Sentinel","swedensouth","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","674535.375","2023-07-01T00:00:00.000Z","78.1005","6745.3538"
"2023-11-01T06:09:55.088Z","Sentinel","swedensouth","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","1248697.1745","2023-07-01T00:00:00.000Z","185.1196","6243.4859"
"2023-11-01T06:09:55.088Z","Sentinel","swedensouth","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1822858.974","2023-07-01T00:00:00.000Z","291.9617","6076.1966"
"2023-11-01T06:09:55.088Z","Sentinel","swedensouth","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","2363558.3955","2023-07-01T00:00:00.000Z","388.9865","5908.896"
"2023-11-01T06:09:55.088Z","Sentinel","swedensouth","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2882184.579","2023-07-01T00:00:00.000Z","487.7704","5764.3692"
"2023-11-01T06:09:55.088Z","Sentinel","swedensouth","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","5650369.29","2023-07-01T00:00:00.000Z","980.2234","5650.3693"
