"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandnorth","GBP","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.7579","2023-07-01T00:00:00.000Z","0","4.7579"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandnorth","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","308.0662","2023-07-01T00:00:00.000Z","64.7484","3.0807"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandnorth","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","570.0941","2023-07-01T00:00:00.000Z","185.0534","2.8505"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandnorth","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","832.122","2023-07-01T00:00:00.000Z","291.9214","2.7737"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandnorth","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","1078.8038","2023-07-01T00:00:00.000Z","388.9403","2.697"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandnorth","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","1315.2627","2023-07-01T00:00:00.000Z","487.6762","2.6305"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandnorth","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2578.3391","2023-07-01T00:00:00.000Z","980.1707","2.5783"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandnorth","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4988.9193","2023-07-01T00:00:00.000Z","1934.9646","2.4945"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandnorth","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12001.6681","2023-07-01T00:00:00.000Z","4811.252","2.4003"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandnorth","GBP","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.9361","2023-07-01T00:00:00.000Z","0","4.9361"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandnorth","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","319.6044","2023-07-01T00:00:00.000Z","64.7484","3.196"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandnorth","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","591.4462","2023-07-01T00:00:00.000Z","185.0583","2.9572"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandnorth","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","863.288","2023-07-01T00:00:00.000Z","291.9275","2.8776"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandnorth","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","1119.2089","2023-07-01T00:00:00.000Z","388.9383","2.798"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandnorth","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","1364.5241","2023-07-01T00:00:00.000Z","487.6784","2.729"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandnorth","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2674.9073","2023-07-01T00:00:00.000Z","980.1786","2.6749"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandnorth","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5175.7726","2023-07-01T00:00:00.000Z","1934.9406","2.5879"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandnorth","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12451.1743","2023-07-01T00:00:00.000Z","4811.3043","2.4902"
"2023-11-02T06:09:34.736Z","Sentinel","switzerlandnorth","GBP","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.9323","2023-07-01T00:00:00.000Z","0","4.9323"
"2023-11-02T06:09:34.736Z","Sentinel","switzerlandnorth","GBP","100 GB Commitment Tier Capacity Reservation","100","1/Day","319.3544","2023-07-01T00:00:00.000Z","64.7476","3.1935"
"2023-11-02T06:09:34.736Z","Sentinel","switzerlandnorth","GBP","200 GB Commitment Tier Capacity Reservation","200","1/Day","590.9836","2023-07-01T00:00:00.000Z","185.0583","2.9549"
"2023-11-02T06:09:34.736Z","Sentinel","switzerlandnorth","GBP","300 GB Commitment Tier Capacity Reservation","300","1/Day","862.6127","2023-07-01T00:00:00.000Z","291.9262","2.8754"
"2023-11-02T06:09:34.736Z","Sentinel","switzerlandnorth","GBP","400 GB Commitment Tier Capacity Reservation","400","1/Day","1118.3334","2023-07-01T00:00:00.000Z","388.9314","2.7958"
"2023-11-02T06:09:34.736Z","Sentinel","switzerlandnorth","GBP","500 GB Commitment Tier Capacity Reservation","500","1/Day","1363.4567","2023-07-01T00:00:00.000Z","487.6803","2.7269"
"2023-11-02T06:09:34.736Z","Sentinel","switzerlandnorth","GBP","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2672.8149","2023-07-01T00:00:00.000Z","980.1661","2.6728"
"2023-11-02T06:09:34.736Z","Sentinel","switzerlandnorth","GBP","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5171.7238","2023-07-01T00:00:00.000Z","1934.946","2.5859"
"2023-11-02T06:09:34.736Z","Sentinel","switzerlandnorth","GBP","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12441.4344","2023-07-01T00:00:00.000Z","4811.2589","2.4883"
"2023-12-02T06:09:12.946Z","Sentinel","switzerlandnorth","GBP","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","4.723","2023-07-01T00:00:00.000Z","0","4.723"
