"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","DKK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","49.4225","2023-07-01T00:00:00.000Z","0","49.4225"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","DKK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2738.472","2023-07-01T00:00:00.000Z","55.4094","27.3847"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","DKK","200 GB Commitment Tier Capacity Reservation","200","1/Day","5064.2183","2023-07-01T00:00:00.000Z","184.9287","25.3211"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","DKK","300 GB Commitment Tier Capacity Reservation","300","1/Day","7389.9646","2023-07-01T00:00:00.000Z","291.8501","24.6332"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","DKK","400 GB Commitment Tier Capacity Reservation","400","1/Day","9578.1127","2023-07-01T00:00:00.000Z","388.8294","23.9453"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","DKK","500 GB Commitment Tier Capacity Reservation","500","1/Day","11673.1291","2023-07-01T00:00:00.000Z","487.4915","23.3463"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","DKK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","22880.2554","2023-07-01T00:00:00.000Z","980.0378","22.8803"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","DKK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","44251.6805","2023-07-01T00:00:00.000Z","1934.0516","22.1258"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","DKK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","106413.1493","2023-07-01T00:00:00.000Z","4809.46","21.2826"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","DKK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","50.9292","2023-07-01T00:00:00.000Z","0","50.9292"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","DKK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2821.9587","2023-07-01T00:00:00.000Z","55.4094","28.2196"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","DKK","200 GB Commitment Tier Capacity Reservation","200","1/Day","5218.6091","2023-07-01T00:00:00.000Z","184.9285","26.0930"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","DKK","300 GB Commitment Tier Capacity Reservation","300","1/Day","7615.2595","2023-07-01T00:00:00.000Z","291.8507","25.3842"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","DKK","400 GB Commitment Tier Capacity Reservation","400","1/Day","9870.1169","2023-07-01T00:00:00.000Z","388.8291","24.6753"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","DKK","500 GB Commitment Tier Capacity Reservation","500","1/Day","12029.0032","2023-07-01T00:00:00.000Z","487.4917","24.0580"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","DKK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","23577.7968","2023-07-01T00:00:00.000Z","980.0398","23.5778"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","DKK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","45600.7642","2023-07-01T00:00:00.000Z","1934.0551","22.8004"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","DKK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","109657.3254","2023-07-01T00:00:00.000Z","4809.4474","21.9315"
