"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","686.9465","2023-07-01T00:00:00.000Z","0","686.9465"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","38063.342","2023-07-01T00:00:00.000Z","55.4095","380.6334"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","70390.011","2023-07-01T00:00:00.000Z","184.9286","351.9501"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","102716.68","2023-07-01T00:00:00.000Z","291.8501","342.3889"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","133130.8057","2023-07-01T00:00:00.000Z","388.8292","332.827"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","162250.4487","2023-07-01T00:00:00.000Z","487.4918","324.5009"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","318023.7","2023-07-01T00:00:00.000Z","980.0395","318.0237"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","615075.44","2023-07-01T00:00:00.000Z","1934.0554","307.5377"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1479087.6625","2023-07-01T00:00:00.000Z","4809.4515","295.8175"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","694.665","2023-07-01T00:00:00.000Z","0","694.665"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","38491.02","2023-07-01T00:00:00.000Z","55.4095","384.9102"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","71180.91","2023-07-01T00:00:00.000Z","184.9286","355.9046"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","103870.8","2023-07-01T00:00:00.000Z","291.8501","346.236"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","134626.6575","2023-07-01T00:00:00.000Z","388.8292","336.5666"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","164073.4875","2023-07-01T00:00:00.000Z","487.4919","328.147"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","321597","2023-07-01T00:00:00.000Z","980.0394","321.597"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","621986.4","2023-07-01T00:00:00.000Z","1934.0554","310.9932"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1495706.625","2023-07-01T00:00:00.000Z","4809.4512","299.1413"
"2023-11-01T06:09:55.088Z","Sentinel","switzerlandwest","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","679.946","2023-07-01T00:00:00.000Z","0","679.946"
"2023-11-01T06:09:55.088Z","Sentinel","switzerlandwest","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","37675.448","2023-07-01T00:00:00.000Z","55.4095","376.7545"
"2023-11-01T06:09:55.088Z","Sentinel","switzerlandwest","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","69672.684","2023-07-01T00:00:00.000Z","184.9286","348.3634"
"2023-11-01T06:09:55.088Z","Sentinel","switzerlandwest","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","101669.92","2023-07-01T00:00:00.000Z","291.8502","338.8997"
"2023-11-01T06:09:55.088Z","Sentinel","switzerlandwest","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","131774.103","2023-07-01T00:00:00.000Z","388.8292","329.4353"
"2023-11-01T06:09:55.088Z","Sentinel","switzerlandwest","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","160596.995","2023-07-01T00:00:00.000Z","487.4918","321.194"
"2023-11-01T06:09:55.088Z","Sentinel","switzerlandwest","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","314782.8","2023-07-01T00:00:00.000Z","980.0395","314.7828"
"2023-11-01T06:09:55.088Z","Sentinel","switzerlandwest","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","608807.36","2023-07-01T00:00:00.000Z","1934.0554","304.4037"
"2023-11-01T06:09:55.088Z","Sentinel","switzerlandwest","RUB","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1464014.65","2023-07-01T00:00:00.000Z","4809.4509","292.8029"
"2023-12-02T06:09:12.946Z","Sentinel","switzerlandwest","RUB","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","642.61","2023-07-01T00:00:00.000Z","0","642.61"
"2023-12-02T06:09:12.946Z","Sentinel","switzerlandwest","RUB","100 GB Commitment Tier Capacity Reservation","100","1/Day","35606.68","2023-07-01T00:00:00.000Z","55.4095","356.0668"
"2023-12-02T06:09:12.946Z","Sentinel","switzerlandwest","RUB","200 GB Commitment Tier Capacity Reservation","200","1/Day","65846.94","2023-07-01T00:00:00.000Z","184.9286","329.2347"
"2023-12-02T06:09:12.946Z","Sentinel","switzerlandwest","RUB","300 GB Commitment Tier Capacity Reservation","300","1/Day","96087.2","2023-07-01T00:00:00.000Z","291.8502","320.2907"
"2023-12-02T06:09:12.946Z","Sentinel","switzerlandwest","RUB","400 GB Commitment Tier Capacity Reservation","400","1/Day","124538.355","2023-07-01T00:00:00.000Z","388.8291","311.3459"
"2023-12-02T06:09:12.946Z","Sentinel","switzerlandwest","RUB","500 GB Commitment Tier Capacity Reservation","500","1/Day","151778.575","2023-07-01T00:00:00.000Z","487.4918","303.5572"
"2023-12-02T06:09:12.946Z","Sentinel","switzerlandwest","RUB","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","297498","2023-07-01T00:00:00.000Z","980.0393","297.498"
"2023-12-02T06:09:12.946Z","Sentinel","switzerlandwest","RUB","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","575377.6","2023-07-01T00:00:00.000Z","1934.0554","287.6888"
