"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","78.7021","2023-07-01T00:00:00.000Z","0","78.7021"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4360.8436","2023-07-01T00:00:00.000Z","55.4095","43.6084"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","8064.4476","2023-07-01T00:00:00.000Z","184.9288","40.3222"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11768.0517","2023-07-01T00:00:00.000Z","291.8504","39.2268"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","15252.5393","2023-07-01T00:00:00.000Z","388.8296","38.1313"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","18588.7206","2023-07-01T00:00:00.000Z","487.4924","37.1774"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","36435.3612","2023-07-01T00:00:00.000Z","980.0406","36.4354"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","70468.0054","2023-07-01T00:00:00.000Z","1934.0533","35.234"
"2023-09-11T15:21:36.457Z","Sentinel","switzerlandwest","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","169456.2173","2023-07-01T00:00:00.000Z","4809.4516","33.8912"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","79.0611","2023-07-01T00:00:00.000Z","0","79.0611"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4380.7356","2023-07-01T00:00:00.000Z","55.4095","43.8074"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","8101.2336","2023-07-01T00:00:00.000Z","184.9284","40.5062"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11821.7317","2023-07-01T00:00:00.000Z","291.8499","39.4058"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","15322.1138","2023-07-01T00:00:00.000Z","388.8289","38.3053"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","18673.5131","2023-07-01T00:00:00.000Z","487.4916","37.3470"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","36601.5612","2023-07-01T00:00:00.000Z","980.0402","36.6016"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","70789.4454","2023-07-01T00:00:00.000Z","1934.0533","35.3947"
"2023-10-02T06:09:57.719Z","Sentinel","switzerlandwest","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","170229.1923","2023-07-01T00:00:00.000Z","4809.4543","34.0458"
