"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","NZD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","12.4674","2023-07-01T00:00:00.000Z","0","12.4674"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","857.7542","2023-07-01T00:00:00.000Z","68.7998","8.5775"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1588.0044","2023-07-01T00:00:00.000Z","185.136","7.94"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","2318.2546","2023-07-01T00:00:00.000Z","291.9716","7.7275"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","3005.9978","2023-07-01T00:00:00.000Z","389","7.515"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","3665.74","2023-07-01T00:00:00.000Z","487.7898","7.3315"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7186.5892","2023-07-01T00:00:00.000Z","980.2345","7.1866"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","13909.5274","2023-07-01T00:00:00.000Z","1935.481","6.9548"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","33469.8004","2023-07-01T00:00:00.000Z","4812.4749","6.694"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","NZD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","12.4611","2023-07-01T00:00:00.000Z","0","12.4611"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","NZD","100 GB Commitment Tier Capacity Reservation","100","1/Day","857.3209","2023-07-01T00:00:00.000Z","68.7998","8.5732"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","NZD","200 GB Commitment Tier Capacity Reservation","200","1/Day","1587.2022","2023-07-01T00:00:00.000Z","185.1353","7.9360"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","NZD","300 GB Commitment Tier Capacity Reservation","300","1/Day","2317.0834","2023-07-01T00:00:00.000Z","291.9712","7.7236"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","NZD","400 GB Commitment Tier Capacity Reservation","400","1/Day","3004.4792","2023-07-01T00:00:00.000Z","388.9998","7.5112"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","NZD","500 GB Commitment Tier Capacity Reservation","500","1/Day","3663.8882","2023-07-01T00:00:00.000Z","487.7900","7.3278"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","NZD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7182.9587","2023-07-01T00:00:00.000Z","980.2340","7.1830"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","NZD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","13902.5006","2023-07-01T00:00:00.000Z","1935.4727","6.9513"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","NZD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","33452.8921","2023-07-01T00:00:00.000Z","4812.4656","6.6906"
