"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","235.9601","2023-07-01T00:00:00.000Z","0","235.9601"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","16234.0549","2023-07-01T00:00:00.000Z","68.8","162.3405"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","30054.9394","2023-07-01T00:00:00.000Z","185.1352","150.2747"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","43875.824","2023-07-01T00:00:00.000Z","291.9708","146.2527"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","56892.2122","2023-07-01T00:00:00.000Z","388.9994","142.2305"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","69378.6467","2023-07-01T00:00:00.000Z","487.7902","138.7573"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","136015.0544","2023-07-01T00:00:00.000Z","980.2371","136.0151"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","263254.944","2023-07-01T00:00:00.000Z","1935.4832","131.6275"
"2023-09-11T15:21:36.457Z","Sentinel","uaecentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","633457.209","2023-07-01T00:00:00.000Z","4812.499","126.6914"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","238.6722","2023-07-01T00:00:00.000Z","0","238.6722"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","16420.6474","2023-07-01T00:00:00.000Z","68.8","164.2065"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","30400.3877","2023-07-01T00:00:00.000Z","185.1351","152.0019"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","44380.128","2023-07-01T00:00:00.000Z","291.9709","147.9338"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","57546.1251","2023-07-01T00:00:00.000Z","388.9992","143.8653"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","70176.0774","2023-07-01T00:00:00.000Z","487.7902","140.3522"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","137578.3968","2023-07-01T00:00:00.000Z","980.2368","137.5784"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","266280.768","2023-07-01T00:00:00.000Z","1935.4838","133.1404"
"2023-10-02T06:09:57.719Z","Sentinel","uaecentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","640738.098","2023-07-01T00:00:00.000Z","4812.4994","128.1476"
"2023-11-01T06:09:55.088Z","Sentinel","uaecentral","TWD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","240.0264","2023-07-01T00:00:00.000Z","0","240.0264"
