"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CAD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.0651","2023-07-01T00:00:00.000Z","0","8.0651"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","523.4016","2023-07-01T00:00:00.000Z","64.8971","5.234"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","968.7908","2023-07-01T00:00:00.000Z","185.0957","4.844"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1414.18","2023-07-01T00:00:00.000Z","291.9447","4.7139"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1833.565","2023-07-01T00:00:00.000Z","388.9699","4.5839"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CAD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2235.7182","2023-07-01T00:00:00.000Z","487.7328","4.4714"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CAD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4382.8971","2023-07-01T00:00:00.000Z","980.2069","4.3829"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CAD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8481.8158","2023-07-01T00:00:00.000Z","1935.2063","4.2409"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CAD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","20406.8702","2023-07-01T00:00:00.000Z","4811.9197","4.0814"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CAD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","8.0159","2023-07-01T00:00:00.000Z","0","8.0159"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","520.2075","2023-07-01T00:00:00.000Z","64.8970","5.2021"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","962.8786","2023-07-01T00:00:00.000Z","185.0942","4.8144"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1405.5497","2023-07-01T00:00:00.000Z","291.9470","4.6852"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1822.3753","2023-07-01T00:00:00.000Z","388.9642","4.5559"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CAD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2222.0742","2023-07-01T00:00:00.000Z","487.7355","4.4441"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CAD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4356.1496","2023-07-01T00:00:00.000Z","980.2096","4.3561"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CAD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8430.0537","2023-07-01T00:00:00.000Z","1935.2296","4.2150"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CAD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","20282.3329","2023-07-01T00:00:00.000Z","4811.9414","4.0565"
