"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.2276","2023-07-01T00:00:00.000Z","0","5.2276"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","339.2557","2023-07-01T00:00:00.000Z","64.897","3.3926"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","627.9457","2023-07-01T00:00:00.000Z","185.0928","3.1397"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","916.6357","2023-07-01T00:00:00.000Z","291.9501","3.0555"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1188.4704","2023-07-01T00:00:00.000Z","388.961","2.9712"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1449.136","2023-07-01T00:00:00.000Z","487.7275","2.8983"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2840.883","2023-07-01T00:00:00.000Z","980.1894","2.8409"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5497.6984","2023-07-01T00:00:00.000Z","1935.196","2.7488"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","13227.217","2023-07-01T00:00:00.000Z","4811.9969","2.6454"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CHF","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.4547","2023-07-01T00:00:00.000Z","0","5.4547"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CHF","100 GB Commitment Tier Capacity Reservation","100","1/Day","353.9951","2023-07-01T00:00:00.000Z","64.8973","3.5400"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CHF","200 GB Commitment Tier Capacity Reservation","200","1/Day","655.2276","2023-07-01T00:00:00.000Z","185.0925","3.2761"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CHF","300 GB Commitment Tier Capacity Reservation","300","1/Day","956.46","2023-07-01T00:00:00.000Z","291.9508","3.1882"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CHF","400 GB Commitment Tier Capacity Reservation","400","1/Day","1240.105","2023-07-01T00:00:00.000Z","388.9671","3.1003"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CHF","500 GB Commitment Tier Capacity Reservation","500","1/Day","1512.0954","2023-07-01T00:00:00.000Z","487.7255","3.0242"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CHF","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2964.3086","2023-07-01T00:00:00.000Z","980.1960","2.9643"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CHF","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5736.5525","2023-07-01T00:00:00.000Z","1935.2132","2.8683"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","CHF","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","13801.8893","2023-07-01T00:00:00.000Z","4811.8709","2.7604"
