"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","63.3084","2023-07-01T00:00:00.000Z","0","63.3084"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4108.5326","2023-07-01T00:00:00.000Z","64.8971","41.0853"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7604.6927","2023-07-01T00:00:00.000Z","185.0952","38.0235"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11100.8528","2023-07-01T00:00:00.000Z","291.9472","37.0028"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14392.8888","2023-07-01T00:00:00.000Z","388.9676","35.9822"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17549.6604","2023-07-01T00:00:00.000Z","487.7317","35.0993"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","34404.3165","2023-07-01T00:00:00.000Z","980.1995","34.4043"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","66579.4946","2023-07-01T00:00:00.000Z","1935.2085","33.2897"
"2023-09-11T15:21:36.457Z","Sentinel","uaenorth","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","160187.2918","2023-07-01T00:00:00.000Z","4811.9176","32.0375"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","63.7623","2023-07-01T00:00:00.000Z","0","63.7623"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4137.9921","2023-07-01T00:00:00.000Z","64.8972","41.3799"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7659.2208","2023-07-01T00:00:00.000Z","185.0952","38.2961"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11180.4495","2023-07-01T00:00:00.000Z","291.9475","37.2682"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14496.0904","2023-07-01T00:00:00.000Z","388.9667","36.2402"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17675.4971","2023-07-01T00:00:00.000Z","487.7318","35.351"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","34651.0065","2023-07-01T00:00:00.000Z","980.1988","34.651"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","67056.891","2023-07-01T00:00:00.000Z","1935.208","33.5284"
"2023-10-02T06:09:57.719Z","Sentinel","uaenorth","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","161335.8863","2023-07-01T00:00:00.000Z","4811.9172","32.2672"
"2023-11-02T06:09:34.736Z","Sentinel","uaenorth","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","66.1441","2023-07-01T00:00:00.000Z","0","66.1441"
"2023-11-02T06:09:34.736Z","Sentinel","uaenorth","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4292.5631","2023-07-01T00:00:00.000Z","64.8971","42.9256"
"2023-11-02T06:09:34.736Z","Sentinel","uaenorth","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7945.3241","2023-07-01T00:00:00.000Z","185.0952","39.7266"
"2023-11-02T06:09:34.736Z","Sentinel","uaenorth","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11598.0852","2023-07-01T00:00:00.000Z","291.9476","38.6603"
"2023-11-02T06:09:34.736Z","Sentinel","uaenorth","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","15037.5789","2023-07-01T00:00:00.000Z","388.9669","37.5939"
"2023-11-02T06:09:34.736Z","Sentinel","uaenorth","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","18335.7495","2023-07-01T00:00:00.000Z","487.732","36.6715"
"2023-11-02T06:09:34.736Z","Sentinel","uaenorth","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","35945.3638","2023-07-01T00:00:00.000Z","980.1989","35.9454"
"2023-11-02T06:09:34.736Z","Sentinel","uaenorth","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","69561.7411","2023-07-01T00:00:00.000Z","1935.2056","34.7809"
"2023-11-02T06:09:34.736Z","Sentinel","uaenorth","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","167362.4437","2023-07-01T00:00:00.000Z","4811.9066","33.4725"
"2023-12-02T06:09:12.946Z","Sentinel","uaenorth","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","63.1503","2023-07-01T00:00:00.000Z","0","63.1503"
"2023-12-02T06:09:12.946Z","Sentinel","uaenorth","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4098.2766","2023-07-01T00:00:00.000Z","64.8972","40.9828"
"2023-12-02T06:09:12.946Z","Sentinel","uaenorth","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7585.7094","2023-07-01T00:00:00.000Z","185.095","37.9285"
"2023-12-02T06:09:12.946Z","Sentinel","uaenorth","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11073.1421","2023-07-01T00:00:00.000Z","291.9478","36.9105"
"2023-12-02T06:09:12.946Z","Sentinel","uaenorth","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14356.9603","2023-07-01T00:00:00.000Z","388.9668","35.8924"
"2023-12-02T06:09:12.946Z","Sentinel","uaenorth","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17505.8518","2023-07-01T00:00:00.000Z","487.7314","35.0117"
"2023-12-02T06:09:12.946Z","Sentinel","uaenorth","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","34318.4342","2023-07-01T00:00:00.000Z","980.199","34.3184"
"2023-12-02T06:09:12.946Z","Sentinel","uaenorth","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","66413.2945","2023-07-01T00:00:00.000Z","1935.2095","33.2066"
"2023-12-02T06:09:12.946Z","Sentinel","uaenorth","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","159787.4218","2023-07-01T00:00:00.000Z","4811.9176","31.9575"
"2024-01-01T06:10:32.426Z","Sentinel","uaenorth","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","59.7323","2023-07-01T00:00:00.000Z","0","59.7323"
"2024-01-01T06:10:32.426Z","Sentinel","uaenorth","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","3876.4548","2023-07-01T00:00:00.000Z","64.8971","38.7645"
"2024-01-01T06:10:32.426Z","Sentinel","uaenorth","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7175.1281","2023-07-01T00:00:00.000Z","185.0953","35.8756"
"2024-01-01T06:10:32.426Z","Sentinel","uaenorth","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","10473.8014","2023-07-01T00:00:00.000Z","291.9478","34.9127"
"2024-01-01T06:10:32.426Z","Sentinel","uaenorth","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","13579.8809","2023-07-01T00:00:00.000Z","388.9668","33.9497"
"2024-01-01T06:10:32.426Z","Sentinel","uaenorth","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","16558.3367","2023-07-01T00:00:00.000Z","487.7315","33.1167"
"2024-01-01T06:10:32.426Z","Sentinel","uaenorth","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","32460.9275","2023-07-01T00:00:00.000Z","980.1981","32.4609"
"2024-01-01T06:10:32.426Z","Sentinel","uaenorth","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","62818.6336","2023-07-01T00:00:00.000Z","1935.2092","31.4093"
"2024-01-01T06:10:32.426Z","Sentinel","uaenorth","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","151138.8281","2023-07-01T00:00:00.000Z","4811.9133","30.2278"
"2024-02-02T06:09:14.625Z","Sentinel","uaenorth","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","62.0376","2023-07-01T00:00:00.000Z","0","62.0376"
"2024-02-02T06:09:14.625Z","Sentinel","uaenorth","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4026.0614","2023-07-01T00:00:00.000Z","64.8971","40.2606"
"2024-02-02T06:09:14.625Z","Sentinel","uaenorth","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7452.0425","2023-07-01T00:00:00.000Z","185.0952","37.2602"
"2024-02-02T06:09:14.625Z","Sentinel","uaenorth","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","10878.0237","2023-07-01T00:00:00.000Z","291.9475","36.2601"
"2024-02-02T06:09:14.625Z","Sentinel","uaenorth","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14103.9781","2023-07-01T00:00:00.000Z","388.9669","35.2599"
"2024-02-02T06:09:14.625Z","Sentinel","uaenorth","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17197.3834","2023-07-01T00:00:00.000Z","487.7321","34.3948"
