"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","CAD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7.4803","2023-07-01T00:00:00.000Z","0","7.4803"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","522.0416","2023-07-01T00:00:00.000Z","69.7889","5.2204"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","966.3427","2023-07-01T00:00:00.000Z","185.1089","4.8317"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1410.6439","2023-07-01T00:00:00.000Z","291.956","4.7021"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1829.0224","2023-07-01T00:00:00.000Z","388.9799","4.5726"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","CAD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2230.278","2023-07-01T00:00:00.000Z","487.7483","4.4606"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","CAD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4372.2887","2023-07-01T00:00:00.000Z","980.2019","4.3723"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","CAD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8461.6871","2023-07-01T00:00:00.000Z","1935.2943","4.2308"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","CAD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","20359.2685","2023-07-01T00:00:00.000Z","4812.1557","4.0719"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","CAD","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7.4346","2023-07-01T00:00:00.000Z","0","7.4346"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","518.8557","2023-07-01T00:00:00.000Z","69.7893","5.1886"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","960.4454","2023-07-01T00:00:00.000Z","185.1068","4.8022"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","1402.0351","2023-07-01T00:00:00.000Z","291.9568","4.6735"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1817.8604","2023-07-01T00:00:00.000Z","388.9719","4.5447"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","CAD","500 GB Commitment Tier Capacity Reservation","500","1/Day","2216.6672","2023-07-01T00:00:00.000Z","487.7478","4.4333"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","CAD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4345.6059","2023-07-01T00:00:00.000Z","980.2192","4.3456"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","CAD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8410.0478","2023-07-01T00:00:00.000Z","1935.3019","4.2050"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","CAD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","20235.0216","2023-07-01T00:00:00.000Z","4812.1336","4.0470"
