"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.079","2023-07-01T00:00:00.000Z","0","5.079"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","354.4556","2023-07-01T00:00:00.000Z","69.7885","3.5446"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","656.1271","2023-07-01T00:00:00.000Z","185.1061","3.2806"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","957.7985","2023-07-01T00:00:00.000Z","291.9583","3.1927"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","1241.8691","2023-07-01T00:00:00.000Z","388.9714","3.1047"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1514.3134","2023-07-01T00:00:00.000Z","487.7487","3.0286"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2968.6952","2023-07-01T00:00:00.000Z","980.2203","2.9687"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5745.3135","2023-07-01T00:00:00.000Z","1935.2961","2.8727"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","13823.5294","2023-07-01T00:00:00.000Z","4812.0338","2.7647"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","EUR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","5.2324","2023-07-01T00:00:00.000Z","0","5.2324"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","365.162","2023-07-01T00:00:00.000Z","69.7886","3.6516"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","675.9454","2023-07-01T00:00:00.000Z","185.1094","3.3797"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","986.7288","2023-07-01T00:00:00.000Z","291.9575","3.2891"
