"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7271","2023-07-01T00:00:00.000Z","0","7271"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","507436.48","2023-07-01T00:00:00.000Z","69.7891","5074.3648"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","939307.44","2023-07-01T00:00:00.000Z","185.1084","4696.5372"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1371178.4","2023-07-01T00:00:00.000Z","291.9552","4570.5947"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1777852.04","2023-07-01T00:00:00.000Z","388.9761","4444.6301"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2167881.7","2023-07-01T00:00:00.000Z","487.753","4335.7634"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4249965.6","2023-07-01T00:00:00.000Z","980.2116","4249.9656"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8224955.2","2023-07-01T00:00:00.000Z","1935.2992","4112.4776"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","19789679","2023-07-01T00:00:00.000Z","4812.1062","3957.9358"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","7421.7","2023-07-01T00:00:00.000Z","0","7421.7"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","517953.696","2023-07-01T00:00:00.000Z","69.7891","5179.5370"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","958775.688","2023-07-01T00:00:00.000Z","185.1084","4793.8784"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1399597.68","2023-07-01T00:00:00.000Z","291.9552","4665.3256"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1814700.108","2023-07-01T00:00:00.000Z","388.9761","4536.7503"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","2212813.59","2023-07-01T00:00:00.000Z","487.7530","4425.6272"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","4338051.12","2023-07-01T00:00:00.000Z","980.2116","4338.0511"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","8395427.04","2023-07-01T00:00:00.000Z","1935.2992","4197.7135"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","20199843.3","2023-07-01T00:00:00.000Z","4812.1062","4039.9687"
