"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","58.7177","2023-07-01T00:00:00.000Z","0","58.7177"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4097.8566","2023-07-01T00:00:00.000Z","69.7891","40.9786"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7585.476","2023-07-01T00:00:00.000Z","185.1082","37.9274"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11073.0953","2023-07-01T00:00:00.000Z","291.955","36.9103"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14357.2311","2023-07-01T00:00:00.000Z","388.9763","35.8931"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17506.9566","2023-07-01T00:00:00.000Z","487.7527","35.0139"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","34321.0441","2023-07-01T00:00:00.000Z","980.212","34.321"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","66421.4905","2023-07-01T00:00:00.000Z","1935.3017","33.2107"
"2023-09-11T15:21:36.457Z","Sentinel","ukwest","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","159813.6335","2023-07-01T00:00:00.000Z","4812.1128","31.9627"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","59.1388","2023-07-01T00:00:00.000Z","0","59.1388"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4127.2396","2023-07-01T00:00:00.000Z","69.789","41.2724"
"2023-10-02T06:09:57.719Z","Sentinel","ukwest","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7639.8663","2023-07-01T00:00:00.000Z","185.1084","38.1993"
