"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","usgovvirginia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","58.9718","2023-07-01T00:00:00.000Z","0","58.9718"
"2023-09-11T15:21:36.457Z","Sentinel","usgovvirginia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4055.681","2023-07-01T00:00:00.000Z","68.7732","40.5568"
"2023-09-11T15:21:36.457Z","Sentinel","usgovvirginia","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7508.4905","2023-07-01T00:00:00.000Z","185.1352","37.5425"
"2023-09-11T15:21:36.457Z","Sentinel","usgovvirginia","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","10961.3","2023-07-01T00:00:00.000Z","291.9704","36.5377"
"2023-09-11T15:21:36.457Z","Sentinel","usgovvirginia","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14213.0793","2023-07-01T00:00:00.000Z","388.9976","35.5327"
"2023-09-11T15:21:36.457Z","Sentinel","usgovvirginia","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17332.5556","2023-07-01T00:00:00.000Z","487.7917","34.6651"
"2023-09-11T15:21:36.457Z","Sentinel","usgovvirginia","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","33980.03","2023-07-01T00:00:00.000Z","980.2375","33.98"
"2023-09-11T15:21:36.457Z","Sentinel","usgovvirginia","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","65767.8","2023-07-01T00:00:00.000Z","1935.4856","32.8839"
"2023-09-11T15:21:36.457Z","Sentinel","usgovvirginia","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","158253.7687","2023-07-01T00:00:00.000Z","4812.5","31.6508"
"2023-10-02T06:09:57.719Z","Sentinel","usgovvirginia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","59.2408","2023-07-01T00:00:00.000Z","0","59.2408"
"2023-10-02T06:09:57.719Z","Sentinel","usgovvirginia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4074.181","2023-07-01T00:00:00.000Z","68.7732","40.7418"
"2023-10-02T06:09:57.719Z","Sentinel","usgovvirginia","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","7542.7405","2023-07-01T00:00:00.000Z","185.1352","37.7137"
"2023-10-02T06:09:57.719Z","Sentinel","usgovvirginia","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","11011.3","2023-07-01T00:00:00.000Z","291.9708","36.7043"
"2023-10-02T06:09:57.719Z","Sentinel","usgovvirginia","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","14277.9123","2023-07-01T00:00:00.000Z","388.9984","35.6948"
"2023-10-02T06:09:57.719Z","Sentinel","usgovvirginia","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","17411.6181","2023-07-01T00:00:00.000Z","487.7914","34.8232"
"2023-10-02T06:09:57.719Z","Sentinel","usgovvirginia","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","34135.03","2023-07-01T00:00:00.000Z","980.2382","34.135"
"2023-10-02T06:09:57.719Z","Sentinel","usgovvirginia","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","66067.8","2023-07-01T00:00:00.000Z","1935.4856","33.0339"
"2023-10-02T06:09:57.719Z","Sentinel","usgovvirginia","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","158975.6437","2023-07-01T00:00:00.000Z","4812.5","31.7951"
"2023-11-01T06:09:55.088Z","Sentinel","usgovvirginia","SEK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","59.8571","2023-07-01T00:00:00.000Z","0","59.8571"
"2023-11-01T06:09:55.088Z","Sentinel","usgovvirginia","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","4116.5645","2023-07-01T00:00:00.000Z","68.7732","41.1656"
