"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","westindia","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","30.2666","2023-07-01T00:00:00.000Z","0","30.2666"
"2023-09-11T15:21:36.457Z","Sentinel","westindia","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","1990.8702","2023-07-01T00:00:00.000Z","65.7778","19.9087"
"2023-09-11T15:21:36.457Z","Sentinel","westindia","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3685.8003","2023-07-01T00:00:00.000Z","185.1352","18.429"
"2023-09-11T15:21:36.457Z","Sentinel","westindia","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5380.7304","2023-07-01T00:00:00.000Z","291.9708","17.9358"
"2023-09-11T15:21:36.457Z","Sentinel","westindia","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","6977.0138","2023-07-01T00:00:00.000Z","388.9993","17.4425"
"2023-09-11T15:21:36.457Z","Sentinel","westindia","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8508.2799","2023-07-01T00:00:00.000Z","487.7902","17.0166"
"2023-09-11T15:21:36.457Z","Sentinel","westindia","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","16680.2642","2023-07-01T00:00:00.000Z","980.2348","16.6803"
"2023-09-11T15:21:36.457Z","Sentinel","westindia","BRL","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","32284.3824","2023-07-01T00:00:00.000Z","1935.4797","16.1422"
"2023-09-11T15:21:36.457Z","Sentinel","westindia","BRL","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","77684.2951","2023-07-01T00:00:00.000Z","4812.4974","15.5369"
"2023-10-02T06:09:57.719Z","Sentinel","westindia","BRL","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","31.2307","2023-07-01T00:00:00.000Z","0","31.2307"
"2023-10-02T06:09:57.719Z","Sentinel","westindia","BRL","100 GB Commitment Tier Capacity Reservation","100","1/Day","2054.2868","2023-07-01T00:00:00.000Z","65.7778","20.5429"
"2023-10-02T06:09:57.719Z","Sentinel","westindia","BRL","200 GB Commitment Tier Capacity Reservation","200","1/Day","3803.2066","2023-07-01T00:00:00.000Z","185.1348","19.016"
"2023-10-02T06:09:57.719Z","Sentinel","westindia","BRL","300 GB Commitment Tier Capacity Reservation","300","1/Day","5552.1264","2023-07-01T00:00:00.000Z","291.9713","18.5071"
"2023-10-02T06:09:57.719Z","Sentinel","westindia","BRL","400 GB Commitment Tier Capacity Reservation","400","1/Day","7199.2572","2023-07-01T00:00:00.000Z","388.9997","17.9981"
"2023-10-02T06:09:57.719Z","Sentinel","westindia","BRL","500 GB Commitment Tier Capacity Reservation","500","1/Day","8779.2999","2023-07-01T00:00:00.000Z","487.7904","17.5586"
"2023-10-02T06:09:57.719Z","Sentinel","westindia","BRL","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","17211.5918","2023-07-01T00:00:00.000Z","980.2371","17.2116"
