"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","westus","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","462.3279","2023-07-01T00:00:00.000Z","0","462.3279"
"2023-09-11T15:21:36.457Z","Sentinel","westus","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","28907.4885","2023-07-01T00:00:00.000Z","62.5259","289.0749"
"2023-09-11T15:21:36.457Z","Sentinel","westus","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","53441.4705","2023-07-01T00:00:00.000Z","184.8707","267.2074"
"2023-09-11T15:21:36.457Z","Sentinel","westus","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","77975.4525","2023-07-01T00:00:00.000Z","291.8162","259.9182"
"2023-09-11T15:21:36.457Z","Sentinel","westus","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","101051.3233","2023-07-01T00:00:00.000Z","388.7813","252.6283"
"2023-09-11T15:21:36.457Z","Sentinel","westus","INR","500 GB Commitment Tier Capacity Reservation","500","1/Day","123133.065","2023-07-01T00:00:00.000Z","487.408","246.2661"
"2023-09-11T15:21:36.457Z","Sentinel","westus","INR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","241336.8375","2023-07-01T00:00:00.000Z","979.984","241.3368"
"2023-09-11T15:21:36.457Z","Sentinel","westus","INR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","466661.745","2023-07-01T00:00:00.000Z","1933.6535","233.3309"
"2023-09-11T15:21:36.457Z","Sentinel","westus","INR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1121992.9875","2023-07-01T00:00:00.000Z","4808.5915","224.3986"
"2023-10-02T06:09:57.719Z","Sentinel","westus","INR","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","465.2487","2023-07-01T00:00:00.000Z","0","465.2487"
"2023-10-02T06:09:57.719Z","Sentinel","westus","INR","100 GB Commitment Tier Capacity Reservation","100","1/Day","29090.1127","2023-07-01T00:00:00.000Z","62.5259","290.9011"
"2023-10-02T06:09:57.719Z","Sentinel","westus","INR","200 GB Commitment Tier Capacity Reservation","200","1/Day","53779.0891","2023-07-01T00:00:00.000Z","184.8707","268.8954"
"2023-10-02T06:09:57.719Z","Sentinel","westus","INR","300 GB Commitment Tier Capacity Reservation","300","1/Day","78468.0655","2023-07-01T00:00:00.000Z","291.8163","261.5602"
"2023-10-02T06:09:57.719Z","Sentinel","westus","INR","400 GB Commitment Tier Capacity Reservation","400","1/Day","101689.719","2023-07-01T00:00:00.000Z","388.7813","254.2243"
