"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","westus","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","59.6786","2023-07-01T00:00:00.000Z","0","59.6786"
"2023-09-11T15:21:36.457Z","Sentinel","westus","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","3731.458","2023-07-01T00:00:00.000Z","62.5259","37.3146"
"2023-09-11T15:21:36.457Z","Sentinel","westus","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","6898.3719","2023-07-01T00:00:00.000Z","184.8706","34.4919"
"2023-09-11T15:21:36.457Z","Sentinel","westus","NOK","300 GB Commitment Tier Capacity Reservation","300","1/Day","10065.2857","2023-07-01T00:00:00.000Z","291.8159","33.551"
"2023-09-11T15:21:36.457Z","Sentinel","westus","NOK","400 GB Commitment Tier Capacity Reservation","400","1/Day","13043.9825","2023-07-01T00:00:00.000Z","388.7807","32.61"
"2023-09-11T15:21:36.457Z","Sentinel","westus","NOK","500 GB Commitment Tier Capacity Reservation","500","1/Day","15894.3544","2023-07-01T00:00:00.000Z","487.4074","31.7887"
"2023-09-11T15:21:36.457Z","Sentinel","westus","NOK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","31152.4221","2023-07-01T00:00:00.000Z","979.9841","31.1524"
"2023-09-11T15:21:36.457Z","Sentinel","westus","NOK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","60237.9803","2023-07-01T00:00:00.000Z","1933.6546","30.119"
"2023-09-11T15:21:36.457Z","Sentinel","westus","NOK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","144829.9377","2023-07-01T00:00:00.000Z","4808.5905","28.966"
"2023-10-02T06:09:57.719Z","Sentinel","westus","NOK","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","60.1065","2023-07-01T00:00:00.000Z","0","60.1065"
"2023-10-02T06:09:57.719Z","Sentinel","westus","NOK","100 GB Commitment Tier Capacity Reservation","100","1/Day","3758.2138","2023-07-01T00:00:00.000Z","62.5259","37.5821"
"2023-10-02T06:09:57.719Z","Sentinel","westus","NOK","200 GB Commitment Tier Capacity Reservation","200","1/Day","6947.8354","2023-07-01T00:00:00.000Z","184.8709","34.7392"
